Standard_Author	Preprints	Score	Rank
Abigail Carpenter	1	2	17764
Abigail Chan	1	2	17764
Abigail Chong	1	3	12013
Abigail Coughtrie	1	2	17764
Abigail Emtage	1	3	12013
Abigail Jacobs	1	1	29388
Abigail Mann	1	5	4631
Abigail Moore	1	2	17764
Abigail Page	1	1	29388
Abigail Pridham	1	3	12013
Abigail Thomas	1	5	4631
Abigail Vazquez-Quinto	1	2	17764
Abigail Waters	1	5	4631
Abimbola Kolawole	1	2	17764
Abiyad Baig	1	5	4631
Aboegnonhou Agossou	1	1	29388
Abolfazl Heidari	1	1	29388
Abou Diouara	1	2	17764
Abraham Gebre	2	4	10491
Abraham Hodgson	1	2	17764
Abraham Landa	1	2	17764
Abraham Morales-Cruz	2	4	10491
Abraham Oduro	1	2	17764
Abraham Reichenberg	1	2	17764
Abram Connelly	1	1	29388
Abul Faiz	1	2	17764
Abul Siddiky	1	2	17764
Abul Usmani	2	4	10491
Acelya Yilmazer	1	1	29388
Acheampong Atta-Boateng	1	3	12013
Achim Meyer	1	2	17764
Achim Tresch	2	6	3650
Ad Aertsen	3	4	10491
Ada Hamosh	1	5	4631
Adalgisa Caccone	1	2	17764
Adam Ahanchede	1	1	29388
Adam Ameur	1	1	29388
Adam Arkin	9	30	118
Adam Auton	3	9	2005
Adam Bailey	2	4	10491
Adam Bajinting	1	3	12013
Adam Barrett	1	5	4631
Adam Bazinet	1	5	4631
Adam Belsom	1	1	29388
Adam Bewick	6	22	256
Adam Bournazos	1	1	29388
Adam Boxer	1	3	12013
Adam Boyko	2	8	2314
Adam Buchanan	1	2	17764
Adam Burgener	1	1	29388
Adam Burkholder	1	3	12013
Adam Butler	1	1	29388
Adam Byron	1	5	4631
Adam Carroll	1	2	17764
Adam Charles	1	1	29388
Adam Claridge-Chang	5	21	294
Adam Coffman	1	5	4631
Adam Damry	1	1	29388
Adam Davidson	1	5	4631
Adam Davis	3	7	2850
Adam Deutschbauer	4	18	415
Adam Dinan	1	5	4631
Adam Dingens	2	10	1419
Adam Dobson	2	4	10491
Adam Dolezal	1	1	29388
Adam English	1	5	4631
Adam Ericsen	1	3	12013
Adam Eyre-Walker	4	10	1419
Adam Faulconbridge	1	1	29388
Adam Feist	1	5	4631
Adam Filipczyk	1	1	29388
Adam Fisher	1	2	17764
Adam Frankish	2	8	2314
Adam Fraser	1	5	4631
Adam Frost	1	2	17764
Adam Gazzaley	1	2	17764
Adam Giangreco	3	5	4631
Adam Giess	3	8	2314
Adam Godzik	2	5	4631
Adam Guss	1	2	17764
Adam Hargreaves	6	18	415
Adam Hill	1	5	4631
Adam Hockenberry	1	3	12013
Adam Hurst	1	2	17764
Adam Jenkins	1	1	29388
Adam Jenney	3	12	1012
Adam Johansen	1	5	4631
Adam Kampff	6	18	415
Adam Karremans	1	1	29388
Adam Kepecs	2	6	3650
Adam Kibel	1	1	29388
Adam Kiezun	1	3	12013
Adam Kimberley	1	2	17764
Adam Kimbrough	1	1	29388
Adam Kleinbaum	2	4	10491
Adam Kowalczyk	1	5	4631
Adam Krejci	1	2	17764
Adam Kucharski	2	10	1419
Adam Kuester	3	3	12013
Adam Lauring	2	2	17764
Adam Leache	4	7	2850
Adam Lenart	1	1	29388
Adam Lendvai	1	5	4631
Adam Levine	3	3	12013
Adam Liska	1	2	17764
Adam Locke	2	8	2314
Adam MacLean	3	9	2005
Adam Mackey	1	1	29388
Adam Mallonee	1	5	4631
Adam Marblestone	4	6	3650
Adam Mark	2	3	12013
Adam Martiny	1	3	12013
Adam Messinger	1	3	12013
Adam Miller	1	2	17764
Adam Nadachowski	1	2	17764
Adam Novak	7	25	181
Adam Packer	1	2	17764
Adam Pah	1	3	12013
Adam Payton	1	2	17764
Adam Phillippy	10	30	118
Adam Ranson	4	8	2314
Adam Reid	2	6	3650
Adam Richards	1	1	29388
Adam Riesselman	1	1	29388
Adam Roddy	2	10	1419
Adam Rosebrock	1	3	12013
Adam Roth	1	1	29388
Adam Rubin	1	2	17764
Adam Savitz	1	2	17764
Adam Shlien	1	1	29388
Adam Siepel	6	10	1419
Adam Spiro	1	1	29388
Adam Stevens	1	2	17764
Adam Stine	1	5	4631
Adam Talbot	1	2	17764
Adam Tomkins	2	10	1419
Adam Turnbull	1	3	12013
Adam Vazquez	1	2	17764
Adam Vogt	1	2	17764
Adam Wolf	1	1	29388
Adam Wong	1	2	17764
Adam Wright	1	2	17764
Adam Yala	1	5	4631
Adama Berndt	1	1	29388
Adan Ccahuana	1	1	29388
Addrienne Nicotra	1	2	17764
Addys Bode	1	1	29388
Adekemi Oluyege	1	3	12013
Adel Ait-hamlat	1	3	12013
Adelaide Dubois	1	1	29388
Adele Blackler	1	1	29388
Adele Mitchell	1	1	29388
Adele Ulisse	1	1	29388
Adeline Boyreau	1	3	12013
Adeline Courseaux	1	1	29388
Adeline Le Cabec	1	1	29388
Adeline Seow	1	2	17764
Adenauer Casali	1	1	29388
Adeniyi Adeola	1	1	29388
Aderemi Akinyemi	1	2	17764
Adi Steif	1	1	29388
Adi Stern	1	2	17764
Adil Allahverdiyev	1	5	4631
Adil Filali	1	2	17764
Adin Ross-Gillespie	3	5	4631
Adina Boronenant	1	1	29388
Adina Howe	1	5	4631
Adina Weinberger	1	2	17764
Adir Amartely	1	5	4631
Adish Dani	1	3	12013
Adison Wong	1	2	17764
Adit Naor	1	3	12013
Adithya Sagar	1	5	4631
Aditi Narayanan	1	5	4631
Aditi Rambani	1	5	4631
Aditya Bardia	1	5	4631
Aditya Bhagwat	1	1	29388
Aditya Joshi	1	3	12013
Aditya Khosla	1	2	17764
Aditya Singh	1	3	12013
Adiya Joshi	1	1	29388
Adna Dumitrescu	1	5	4631
Adnan Alazizi	2	3	12013
Adnan Moussalli	2	7	2850
Adnane Sellam	2	2	17764
Adolfo Alsina	1	2	17764
Adrew Wood	1	2	17764
Adria Campo	3	5	4631
Adriaan Dokter	1	2	17764
Adriaan Sticker	1	5	4631
Adrian Balasescu	2	2	17764
Adrian Bird	1	2	17764
Adrian Bondy	1	1	29388
Adrian Briggs	1	1	29388
Adrian Bulat	1	3	12013
Adrian Camarena	1	2	17764
Adrian Casanova	1	1	29388
Adrian Cortes	2	3	12013
Adrian Di Giacomo	1	1	29388
Adrian Elcock	1	1	29388
Adrian Escudero	1	1	29388
Adrian Fritz	1	5	4631
Adrian Halme	2	4	10491
Adrian Harris	1	2	17764
Adrian Idrizi	1	1	29388
Adrian Isaacs	2	6	3650
Adrian Joseph	1	1	29388
Adrian Lee	1	2	17764
Adrian Marciszak	1	2	17764
Adrian McNairn	1	1	29388
Adrian Melott	1	2	17764
Adrian Monstad-Rios	1	1	29388
Adrian Oca	1	1	29388
Adrian Platts	3	6	3650
Adrian Ponce-Alvarez	1	2	17764
Adrian Radillo	1	2	17764
Adrian Raftery	1	5	4631
Adrian Serohijos	2	4	10491
Adrian Shajkofci	1	2	17764
Adrian She	1	2	17764
Adrian Spidle	1	1	29388
Adrian Stutz	1	2	17764
Adrian Tan	1	2	17764
Adrian Taylor	1	3	12013
