Standard_Author	Preprints	Score	Rank
Dat Duong	2	2	17764
Dave Bridges	2	10	1419
Dave Bullis	1	2	17764
Dave Clements	1	5	4631
Dave DeSante	1	1	29388
Dave Goulson	2	4	10491
Dave Hall	1	1	29388
Dave Huss	1	1	29388
Dave Kudrna	1	1	29388
Dave Liewald	1	1	29388
Dave Pai	2	5	4631
Dave Rawlinson	1	5	4631
Dave Thirumalai	11	27	153
Dave Twell	1	3	12013
Davi Ortega	1	1	29388
David Aanensen	3	9	2005
David Adams	3	8	2314
David Adelson	6	12	1012
David Agard	3	6	3650
David Agorku	1	5	4631
David Aguirre	1	1	29388
David Agus	2	10	1419
David Alais	1	2	17764
David Albores	1	5	4631
David Albrecht	2	4	10491
David Alexander	1	2	17764
David Alonso	2	2	17764
David Altshuler	1	3	12013
David Alvarez-Ponce	1	1	29388
David Andaluz-Ojeda	1	5	4631
David Andrade	1	1	29388
David Andreu	1	5	4631
David Andrews	1	2	17764
David Angeles-Albores	2	7	2850
David Angulo-Garcia	3	4	10491
David Anthony	2	4	10491
David Archer	2	4	10491
David Ardell	1	5	4631
David Arenillas	2	4	10491
David Armitage	1	2	17764
David Artz	1	3	12013
David Auble	1	5	4631
David Baddeley	1	2	17764
David Baillat	1	2	17764
David Baker	3	5	4631
David Balding	1	1	29388
David Baltrus	7	12	1012
David Barclay	1	2	17764
David Barrett	2	6	3650
David Bartel	2	2	17764
David Basanta	6	17	473
David Bass	1	3	12013
David Bassen	1	5	4631
David Bastanta	1	2	17764
David Batty	1	3	12013
David Baty	1	3	12013
David Baulcombe	2	3	12013
David Baum	3	4	10491
David Becerra-Alonso	1	2	17764
David Bechtold	2	4	10491
David Bednar	1	1	29388
David Beier	1	1	29388
David Bell	1	2	17764
David Bennett	4	11	1203
David Bensimon	1	1	29388
David Bentley	2	7	2850
David Bergstrom	1	5	4631
David Bhella	1	1	29388
David Bikard	1	3	12013
David Bilkey	1	2	17764
David Bird	2	8	2314
David Biron	2	3	12013
David Bishop	1	3	12013
David Blei	2	4	10491
David Bogumil	1	3	12013
David Bohanna	1	3	12013
David Bonter	1	5	4631
David Bortz	2	10	1419
David Botstein	1	2	17764
David Bourn	1	3	12013
David Boutolleau	1	1	29388
David Bowler	1	3	12013
David Bowtell	1	5	4631
David Brafman	1	2	17764
David Brainard	1	5	4631
David Brown	2	3	12013
David Bryant	1	5	4631
David Buck	1	3	12013
David Buhrke	1	1	29388
David Bunyan	1	3	12013
David Burkhardt	1	3	12013
David Burt	1	5	4631
David Bush	1	2	17764
David Campbell	2	4	10491
David Carey	1	2	17764
David Case	1	2	17764
David Castellano	1	1	29388
David Catcheside	1	3	12013
David Catoe	2	7	2850
David Cavalier	1	1	29388
David Cesarini	2	7	2850
David Chagne	1	1	29388
David Chang	1	2	17764
David Chapulliot	1	2	17764
David Check	1	1	29388
David Chen	1	1	29388
David Cherba	1	1	29388
David Choi	1	2	17764
David Christiani	1	2	17764
David Clarke	1	5	4631
David Clayton	1	5	4631
David Cleary	1	2	17764
David Cobb	2	7	2850
David Cohen	1	2	17764
David Cole	1	2	17764
David Collier	4	8	2314
David Coltman	2	7	2850
David Comas	4	7	2850
David Conant	1	1	29388
David Conti	1	1	29388
David Conway	2	4	10491
David Cooke	1	1	29388
David Cooper	2	4	10491
David Corcoran	1	2	17764
David Cox	4	7	2850
David Craft	2	7	2850
David Craig	1	2	17764
David Curtis	3	8	2314
David Cutler	4	8	2314
David Dalrymple	1	2	17764
David Daniels	1	1	29388
David Dao	1	5	4631
David De Marais	1	2	17764
David DeTomaso	1	1	29388
David Degen	2	2	17764
David Dickie	1	3	12013
David Diego	1	1	29388
David Dill	2	6	3650
David Dilworth	1	1	29388
David Dingli	1	2	17764
David Dockrell	1	1	29388
David Donaldson	1	2	17764
David Drewry	2	7	2850
David Drijkoningen	1	5	4631
David Drubin	1	3	12013
David Dulin	1	2	17764
David Dunger	1	2	17764
David Dunn	1	1	29388
David Durand	1	5	4631
David Duvenaud	1	1	29388
David Eccles	1	5	4631
David Eckley	1	1	29388
David Eddington	1	3	12013
David Edwards	5	19	369
David Eilam	1	1	29388
David Elliott	1	3	12013
David Ellis	1	5	4631
David Ellison	1	1	29388
David Emerson	2	6	3650
David Enard	3	11	1203
David Engelke	1	2	17764
David Engelthaler	4	7	2850
David Evans	7	13	865
David Eyre	1	3	12013
David Fan	1	3	12013
David Farrow	1	5	4631
David Fast	3	11	1203
David Fazekas	1	1	29388
David Feldheim	1	1	29388
David Fell	1	2	17764
David Feng	1	1	29388
David Fenyo	1	2	17764
David Ferguson	1	2	17764
David Fischer	1	1	29388
David FitzPatrick	2	6	3650
David Fitzpatrick	1	1	29388
David Fouchet	1	1	29388
David Fournier	2	6	3650
David Fowle	1	1	29388
David Fraebel	1	1	29388
David Friend	1	1	29388
David Funk	1	5	4631
David Gacquer	1	1	29388
David Galas	1	3	12013
David Gandara	1	1	29388
David Gardner	1	5	4631
David Gatfield	1	2	17764
David Gault	1	5	4631
David Gavaghan	2	7	2850
David Geiser	1	3	12013
David Gewirtz	1	1	29388
David Gfeller	3	5	4631
David Gibbs	2	4	10491
David Gifford	4	6	3650
David Gilbert	2	4	10491
David Ginsburg	1	1	29388
David Glahn	1	3	12013
David Glazer	1	5	4631
David Gleich	1	1	29388
David Glick	1	5	4631
David Gokhman	3	8	2314
David Golan	1	2	17764
David Goldblatt	1	3	12013
David Goldgar	2	7	2850
David Goldman	1	3	12013
David Goldstein	1	2	17764
David Gonzales	1	1	29388
David Gorkin	1	1	29388
David Goudie	1	3	12013
David Gourichon	1	2	17764
David Grabowski	1	2	17764
David Gray	1	2	17764
David Gregory	1	1	29388
David Gresham	4	10	1419
David Grimes	4	17	473
David Groppe	2	7	2850
David Gunther	1	2	17764
David Guttman	1	1	29388
David Haan	1	2	17764
David Haidar	1	1	29388
David Hall	1	3	12013
David Hamilton	3	4	10491
David Hansel	3	3	12013
David Hansmann	2	2	17764
David Harbage	2	4	10491
David Harris	3	15	603
David Hartmann	1	1	29388
David Haussler	6	22	256
David Hawkins	1	2	17764
David Healey	1	2	17764
David Heeger	1	2	17764
David Heller	1	1	29388
David Hembry	1	5	4631
David Hendrickson	1	2	17764
David Hershey	1	1	29388
David Hibbett	1	5	4631
David Hildebrand	1	1	29388
David Hill	2	10	1419
David Hillis	1	2	17764
David Hinds	10	23	227
David Ho	1	2	17764
David Hodgson	1	2	17764
David Hoelzle	1	1	29388
David Hokey	1	3	12013
David Holcman	3	4	10491
David Horn	1	1	29388
David Hougaard	3	7	2850
David Houle	3	8	2314
David Houston	1	1	29388
David Howard	2	3	12013
David Hufnagel	1	5	4631
David Hughes	9	19	369
David Hume	2	6	3650
David Humphreys	1	1	29388
David Hunter	4	11	1203
David Hurtado	1	2	17764
David Hyeroba	1	1	29388
David Ibberson	1	3	12013
David Irwin	1	1	29388
David Jaciuch	1	1	29388
David Jaffe	1	1	29388
David Janzen	1	2	17764
David Jenkins	1	3	12013
David Johnston	1	2	17764
David Joly	1	5	4631
David Jones	5	7	2850
David Joyce	1	2	17764
David Juan	5	13	865
David Jukam	1	2	17764
David Juncker	2	10	1419
David Kachala	1	2	17764
David Karanja	1	2	17764
David Karasik	1	2	17764
David Kareken	1	2	17764
David Karig	1	1	29388
David Karow	2	4	10491
David Kavanagh	3	10	1419
David Keator	3	15	603
David Keays	1	1	29388
David Kelley	1	5	4631
David Kellner	1	2	17764
David Kelvin	1	2	17764
David Kennedy	5	11	1203
David Kernohan	1	5	4631
David Kessler	1	1	29388
David Klatzmann	1	3	12013
David Klenerman	2	2	17764
David Knight	1	5	4631
David Knopman	1	3	12013
David Knowles	5	15	603
David Kobulnicky	3	6	3650
David Kolet-Mandrikov	1	3	12013
David Komander	1	1	29388
David Koslicki	6	19	369
David Kovar	1	3	12013
David Krakauer	1	3	12013
David Kramer	1	1	29388
David Krane	1	5	4631
David Krisman	1	1	29388
David Kristensen	1	5	4631
David Kuo	1	5	4631
David Labonte	3	15	603
David Laibson	2	7	2850
David Lamparter	2	7	2850
David Lank	1	2	17764
David Larson	1	5	4631
David Laubender	1	2	17764
David Lawrie	2	10	1419
David Ledbetter	1	2	17764
David Lee	1	2	17764
David Legg	1	5	4631
David Leitman	2	2	17764
David Leon	1	5	4631
David Leopold	2	4	10491
David Lewis	1	5	4631
David Liao	1	5	4631
David Liewald	10	12	1012
David Lips	1	1	29388
David Lodge	1	2	17764
David Lovell	2	10	1419
David Luginbuhl	1	2	17764
David Lunt	3	12	1012
David Lusseau	2	4	10491
David Lydall	1	5	4631
David Lytle	1	5	4631
David MacAlpine	1	1	29388
David Macdonald	1	2	17764
David Mackey	1	5	4631
David Malarkey	1	5	4631
David Malkin	1	1	29388
David Marais	1	1	29388
David Marcus	1	1	29388
David Martin	3	8	2314
David Martino	1	5	4631
David Mas-Ponte	1	2	17764
David Mason	2	10	1419
David Matthews	3	7	2850
David Mavor	1	2	17764
David McCandlish	5	15	603
David McCauley	1	2	17764
David McEwan	1	2	17764
David McFadden	1	3	12013
David Medovoy	1	3	12013
David Mely	1	1	29388
David Melzer	3	6	3650
David Meretzky	1	1	29388
David Micklos	1	5	4631
David Miller	2	6	3650
David Mills	1	2	17764
David Mirsky	1	2	17764
David Mittelman	4	13	865
David Mladenoff	1	5	4631
David Mobley	6	16	532
David Modiano	1	2	17764
David Modry	1	2	17764
David Mohr	1	3	12013
David Moi	1	2	17764
David Monnin	1	2	17764
David Moore	1	3	12013
David Morris	1	1	29388
David Morrison	4	13	865
David Morse	1	5	4631
David Moyer	1	1	29388
David Muchiri	1	2	17764
David Mueller	1	3	12013
David Munroe	1	1	29388
David Murphy	1	1	29388
David Murray	1	1	29388
David Murrell	1	1	29388
David Neal	1	1	29388
David Neale	3	9	2005
David Nelson	5	11	1203
David Newbery	1	1	29388
David Niccum	1	2	17764
David Nicol	1	1	29388
David Norman	1	3	12013
David Norris	2	2	17764
David Nusinow	1	1	29388
David Nyer	1	2	17764
David O'Brien	1	2	17764
David O'Connor	10	29	133
David Ochoa	4	18	415
David Olivieri	5	5	4631
David Orrell	1	2	17764
David Orwig	1	2	17764
David Osumi-Sutherland	1	5	4631
David Paez	1	1	29388
David Page	2	10	1419
David Papo	1	2	17764
David Paramelle	1	5	4631
David Parichy	1	1	29388
David Pastor-Escuredo	1	3	12013
David Patterson	2	8	2314
David Pauls	1	2	17764
David Payer	1	2	17764
David Pecor	1	5	4631
David Peeler	1	1	29388
David Pellow	1	5	4631
David Penman	1	2	17764
David Peris	2	4	10491
David Perkins	1	2	17764
David Perrais	1	2	17764
David Pflieger	3	6	3650
David Phillips	2	2	17764
David Pilcher	1	5	4631
David Piotrowski	1	1	29388
David Pisapia	1	1	29388
David Plachetzki	4	10	1419
David Pleydell	1	2	17764
David Poeppel	1	5	4631
David Polidori	1	3	12013
David Pollock	2	4	10491
David Porciani	1	2	17764
David Porfirio	1	3	12013
David Porteous	15	30	118
David Porubsky	1	1	29388
David Posada	5	15	603
David Pot	1	2	17764
David Price	2	8	2314
David Prince	1	1	29388
David RITCHIE	1	5	4631
David ROUSSEAU	1	1	29388
David Raffelt	1	5	4631
David Rand	1	1	29388
David Rank	3	6	3650
David Raposo	1	2	17764
David Rasmussen	3	8	2314
David Ray	4	9	2005
David Read	4	20	318
David Reading	1	5	4631
David Redding	2	7	2850
David Rehkopf	1	2	17764
David Reich	22	46	28
David Relman	2	4	10491
David Renault	2	2	17764
David Reynolds	1	3	12013
David Riccardi	2	6	3650
David Riglar	1	1	29388
David Rinker	1	1	29388
David Roalf	1	2	17764
David Roberts	1	3	12013
David Robertson	4	11	1203
David Robinson	1	1	29388
David Rocke	2	6	3650
David Rodriguez	1	3	12013
David Rogers	2	2	17764
David Ron	2	2	17764
David Root	1	1	29388
David Rose	2	10	1419
David Rosenblueth	1	2	17764
David Ross	1	2	17764
David Rotermund	2	6	3650
David Rousso	1	5	4631
David Roy	1	3	12013
David Rubin	1	2	17764
David Rueda	1	2	17764
David Ryan	1	2	17764
David Salt	1	1	29388
David Salthouse	1	2	17764
David Samuels	1	3	12013
David Sands	1	2	17764
David Sansom	1	1	29388
David Saunders	1	2	17764
David Savage	1	2	17764
David Schafer	1	2	17764
David Scheinberg	1	1	29388
David Schlessinger	2	5	4631
David Schneider	1	5	4631
David Schnyer	1	1	29388
David Schoppik	1	5	4631
David Schwab	1	3	12013
David Schwartz	1	1	29388
David Schwartzman	1	5	4631
David Scott	3	6	3650
David Segal	1	1	29388
David Serre	1	5	4631
David Serreze	1	5	4631
David Severson	1	3	12013
David Sharrow	1	5	4631
David Shechner	1	3	12013
David Sherwood	1	1	29388
David Siemieniak	1	1	29388
David Simon	1	1	29388
David Sims	1	5	4631
David Singer	1	3	12013
David Skurnik	1	1	29388
David Skuse	2	5	4631
David Smajs	1	1	29388
David Smith	7	20	318
David Solit	2	7	2850
David Spector	1	1	29388
David Spencer	1	5	4631
David St Clair	1	2	17764
David St. Clair	1	3	12013
David Stallknecht	1	2	17764
David Steinsaltz	1	2	17764
David Stensel	1	3	12013
David Stephens	4	15	603
David Stern	3	8	2314
David Stevenson	1	1	29388
David Storch	1	2	17764
David Strachan	2	6	3650
David Studholme	1	5	4631
David Sturgill	1	2	17764
David Suckling	2	3	12013
David Sullivan	1	2	17764
David Summers	1	1	29388
David Sundell	1	3	12013
David Swanson	1	5	4631
David Swarbreck	4	13	865
David Tank	3	4	10491
David Thaller	1	1	29388
David Threadgill	1	3	12013
David Thybert	3	10	1419
David Tieu	1	2	17764
David Tilson	1	5	4631
David Tingley	1	1	29388
David Tissue	1	2	17764
David Torrents	2	2	17764
David Touboul	1	1	29388
David Traver	1	3	12013
David Tse	6	19	369
David Turissini	1	1	29388
David Turner	5	25	181
David Tuveson	1	5	4631
David Twell	1	3	12013
David Valle-Garcia	1	3	12013
David Vallenet	2	7	2850
David Van Essen	1	5	4631
David Vawdrey	1	2	17764
David Veesler	1	3	12013
David Vuono	1	1	29388
David Wagner	4	15	603
David Walker	3	11	1203
David Walsh	2	3	12013
David Wang	1	2	17764
David Ware	2	5	4631
David Warne	1	5	4631
David Watkins	1	2	17764
David Watson	2	2	17764
David Weese	1	1	29388
David Weetman	1	5	4631
David Weinberg	2	2	17764
David Weinstein	1	1	29388
David Weir	2	4	10491
David Weiss	1	5	4631
David Weitz	2	3	12013
David Welch	2	7	2850
David Weston	2	10	1419
David Wheeler	4	6	3650
David Widdick	1	1	29388
David Wild	1	3	12013
David Wille	1	2	17764
David Willshaw	1	5	4631
David Wilson	3	7	2850
David Winter	4	17	473
David Witonsky	1	1	29388
David Wojnar	1	5	4631
David Wu	3	4	10491
David Wyllie	4	18	415
David Zeleny	1	2	17764
David Zong	1	2	17764
David Zwicker	1	1	29388
David del Molino	1	1	29388
David van Dijk	3	6	3650
David van Heel	2	7	2850
David von Schack	1	1	29388
Davide Assandri	1	2	17764
Davide Bau	2	2	17764
Davide Cacchiarelli	1	1	29388
Davide Chicco	1	1	29388
Davide Cittaro	2	4	10491
Davide Danovi	1	1	29388
Davide Marenduzzo	5	19	369
Davide Marnetto	2	4	10491
Davide Michieletto	5	19	369
Davide Pettener	2	6	3650
Davide Piffer	2	4	10491
Davide Raccuglia	1	2	17764
Davide Verzotto	1	3	12013
Davide Zabeo	1	1	29388
Davis McCarthy	2	6	3650
Davit Potoyan	2	2	17764
Davood Norouzi	1	5	4631
Davorka Gulisija	2	3	12013
Davy Janssen	1	2	17764
Dawei Li	1	2	17764
Dawen Xu	1	3	12013
Dawid Nowak	1	5	4631
Dawn Birdsell	1	2	17764
Dawn DeMeo	3	9	2005
Dawn Dudley	4	12	1012
Dawn Eliashiv	1	1	29388
Dawn Holmes	1	5	4631
Dawn Muddyman	1	2	17764
Dawn Watkins-Chow	1	3	12013
Dayanna Barreto	1	1	29388
Dayong Gao	1	3	12013
Dayu Zhang	1	2	17764
Dazhe Meng	1	1	29388
Dazhi Li	1	1	29388
De Yun Wang 	1	2	17764
De-Li Shi	1	2	17764
Dean Bajorin	1	5	4631
Dean Bobo	5	8	2314
Dean Bowman	1	2	17764
Dean Brenner	1	5	4631
Dean Castillo	3	5	4631
Dean Erdman	1	2	17764
Dean Lockhead	1	3	12013
Dean Pavlick	1	1	29388
Deanna Church	5	16	532
Deanna Greene	1	2	17764
Deanna Lin	1	2	17764
Deanna Soper	1	1	29388
Deb Chakravarti	1	3	12013
Debab Abdelkader	1	2	17764
Debajyoti Kabiraj	2	2	17764
Debarka Sengupta	1	1	29388
Debashish Ray	1	1	29388
Debatosh Datta	2	2	17764
Debayan Dey	1	1	29388
Debbie Buecher	1	5	4631
Debbie Howard	1	1	29388
Debbie Lawlor	4	9	2005
Debbie Rice	1	3	12013
Debbie Shears	1	3	12013
Debbie van Baarle	1	1	29388
Debi Poinar	1	5	4631
Debika Choudhury	1	2	17764
Debjani Das	2	4	10491
Debnath Ghosal	2	3	12013
Debora Arce	1	1	29388
Debora Bade	1	1	29388
Debora Brandt	1	2	17764
Debora Fumagalli	1	1	29388
Debora Kaminska	1	2	17764
Debora Marks	6	12	1012
Debora-Rosa Bublik	1	2	17764
Deborah Apthorp	1	2	17764
Deborah Bielser	1	5	4631
Deborah Carter	1	2	17764
Deborah Cox	1	2	17764
Deborah Cunninghame-Graham	1	1	29388
Deborah Dewar	1	2	17764
Deborah Graham	1	3	12013
Deborah Hix	1	2	17764
Deborah Hogan	2	10	1419
Deborah Krakow	1	2	17764
Deborah Lawlor	4	6	3650
Deborah Levy	1	2	17764
Deborah Markham	1	1	29388
Deborah Merrett	2	4	10491
Deborah Meyers	1	2	17764
Deborah Nertney	1	2	17764
Deborah Nickerson	4	9	2005
Deborah Smyth	2	7	2850
Deborah Strickland	1	1	29388
Deborah Thompson	1	2	17764
Deborah Williamson	2	5	4631
Deborah Yelon	2	4	10491
Debra Bemis	1	2	17764
Debra Boeldt	1	5	4631
Debra Bryan	1	3	12013
Debra Ellisor	1	1	29388
Debra Fleischman	1	1	29388
Debra Rimmington	1	1	29388
Debra Silverman	1	2	17764
Debra Zuppinger-Dingley	1	2	17764
Declan Clarke	1	1	29388
Declan Murphy	1	2	17764
Dedeou Tchokponhoue	1	1	29388
Dee Denver	1	2	17764
Deeba Baig	1	3	12013
Deeg Katharina	1	2	17764
Deeksha Singh	1	5	4631
Deema Douglah	1	3	12013
Deena Gendoo	2	4	10491
Deenan Pillay	2	4	10491
Deepa Agashe	3	6	3650
Deepa Taranath	1	5	4631
Deepak Ailani	1	1	29388
Deepak Choudhury	2	8	2314
Deepak Kumar	1	2	17764
Deepika Calidas	1	5	4631
Deepika Dokuru	1	2	17764
Deepika Singh	1	1	29388
Deepika Walpita	1	2	17764
Deepthi Bannai	1	1	29388
Deepu Oommen	1	1	29388
Degeng Wang	1	3	12013
Degui Zhi	2	6	3650
Dehua Bi	1	1	29388
Dei Elurbe	1	5	4631
Deidre Krupp	1	1	29388
Deirdre Cilliers	1	3	12013
Deirdre Donnelly	1	3	12013
Deirdre Ricaurte	1	1	29388
Deisy Contreras	3	6	3650
Dejan Lazarevic	2	4	10491
Dejian Xie	1	1	29388
Dejian Yuan	5	16	532
Delia Belelli	1	5	4631
Delia Yao	1	5	4631
Deling Ruan	3	5	4631
Delma Childers	1	2	17764
Delphine Busson	1	5	4631
Delphine Cao	1	2	17764
Delphine Grynberg	1	1	29388
Delphine Heron	1	5	4631
Delphine Muriaux	1	2	17764
Delphine Quenet	1	2	17764
Delphine Rolando	1	3	12013
Delphine Theodorou	1	1	29388
Delphine Valloton	1	1	29388
Delwin Merchant	1	3	12013
Delynn Moss	1	2	17764
Demetrios Gatziolis	1	1	29388
Demian Battaglia	4	7	2850
Demian Park	2	2	17764
Dena Grossenbacher	2	4	10491
Dena Hernandez	2	4	10491
Denes Szucs	2	4	10491
Denes Turei	1	1	29388
Deng Mao	1	1	29388
Dengfeng Guan	1	5	4631
Denghui Luo	1	5	4631
Denis Baird	1	2	17764
Denis Bauer	4	11	1203
Denis Baurain	1	2	17764
Denis Bertrand	1	2	17764
Denis Cecchin	1	1	29388
Denis Chaimow	2	4	10491
Denis Duboule	1	1	29388
Denis Feliers	1	3	12013
Denis Fize	1	5	4631
Denis Khokhrin	1	3	12013
Denis Larsimont	1	1	29388
Denis Michel	1	1	29388
Denis Murphy	1	3	12013
Denis Polygalov	2	10	1419
Denis Schapiro	1	1	29388
Denis Spelman	1	5	4631
Denis Tagu	1	2	17764
Denis Thieffry	3	11	1203
Denis Zakharov	2	3	12013
Denisa Duma	2	2	17764
Denise Arduini	1	2	17764
Denise Carvalho-Silva	1	5	4631
Denise De Belder	1	5	4631
Denise Kuhnert	1	1	29388
Denise Marston	1	1	29388
Denise Mascarenhas	1	5	4631
Denise Montell	2	2	17764
Denise Morris	1	2	17764
Denise Munoz	1	2	17764
Denise Rossa-Feres	1	2	17764
Denise Scherzinger	1	2	17764
Denise Scholtens	1	1	29388
Denise Serebrisky	1	3	12013
Denise Thiel	1	1	29388
Denise Valle	1	3	12013
Denise Williams	1	3	12013
Deniz Akdemir	5	15	603
Deniz Erezyilmaz	1	2	17764
Deniz Kural	2	3	12013
Deniz Senyilmaz	1	1	29388
Deniz Yorukoglu	1	3	12013
Dennis Adjei	1	5	4631
Dennis Beest	1	2	17764
Dennis Botman	1	2	17764
Dennis Burton	2	6	3650
Dennis Claessen	2	2	17764
Dennis Discher	2	3	12013
Dennis Eckmeier	1	2	17764
Dennis Eickelbeck	1	5	4631
Dennis Ent	1	3	12013
Dennis Evangelista	4	5	4631
Dennis Fei	1	5	4631
Dennis Gascoigne	1	2	17764
Dennis Goldschmidt	1	5	4631
Dennis Kinuthia	1	5	4631
Dennis Montoya	1	2	17764
Dennis Mook-Kanamori	2	3	12013
Dennis Norris	2	4	10491
Dennis Osei	1	2	17764
Dennis Poon	1	5	4631
Dennis Saering	1	1	29388
Dennis Shasha	1	1	29388
Dennis Stevenson	1	2	17764
Dennis Wall	1	3	12013
Dennis Wolan	1	5	4631
Denny Borsboom	1	5	4631
Dent Earl	1	5	4631
Depeng Wang	1	1	29388
Derek Albracht	1	2	17764
Derek Albrecht	1	5	4631
Derek Bickhart	2	4	10491
Derek Croote	1	2	17764
Derek Cummings	5	10	1419
Derek Gatherer	3	10	1419
Derek Kelly	1	1	29388
Derek Lim	1	3	12013
Derek Lovley	2	7	2850
Derek Micholson	1	2	17764
Derek Morris	1	2	17764
Derek Oldridge	1	2	17764
Derek Ou	2	4	10491
Derek Park	1	1	29388
Derek Sonderegger	1	5	4631
Derek Stemple	1	2	17764
Derek Van Booven	1	5	4631
Derek White	1	1	29388
Deren Eaton	2	8	2314
Dermot Bowler	1	1	29388
Dermot McGovern	4	6	3650
Dermot Walsh	1	2	17764
Derrick Crook	8	34	87
Desdemona Fricker	1	1	29388
Deserah Strand	1	1	29388
Desiree Harpel	1	1	29388
Desislava Nesheva	1	2	17764
Desislava Petkova	1	2	17764
Desmond Campbell	1	5	4631
Desmond Foley	1	5	4631
Desmond Lun	1	5	4631
Desmond Smith	1	5	4631
Despina Nathanael	1	3	12013
Despoina Vokou	1	2	17764
Dessislava Marinova	1	2	17764
Desu Chen	1	5	4631
Detlef Heck	1	2	17764
Detlef Wegener	1	2	17764
Detlef Weigel	5	11	1203
Detlev Arendt	1	2	17764
Detlev Vogler	1	2	17764
Deus Ishengoma	1	2	17764
Deus Mjungu	1	1	29388
Dev Giri	2	3	12013
Devanand Sarkar	1	2	17764
Devang Mehta	1	2	17764
Devashish das	1	1	29388
Devasuda Anblagan	1	3	12013
Deven Vyas	1	2	17764
Devika Bhave	2	2	17764
Devika Ganesamoorthy	3	5	4631
Devika Sharanya	1	5	4631
Devin Johnson	3	12	1012
Devin Koestler	1	1	29388
Devin O'Connor	1	1	29388
Devin Strickland	1	5	4631
Devlina Ghosh	1	2	17764
Devon Brewer	2	8	2314
Devon Pearse	1	1	29388
Devora Najjar	2	10	1419
Dewey Kim	1	1	29388
Dexter Hadley	1	5	4631
Deyan Guacaran	1	3	12013
Dezemona Petrelli	1	2	17764
Dezso Modos	1	1	29388
Dhamari Naidoo	1	3	12013
Dhana Friedrich	1	2	17764
Dhananjay Bhattacharyya	2	4	10491
Dhanashri Nevgi	2	2	17764
Dhanisha Jhaveri	1	2	17764
Dhanya Cheerambathur	1	1	29388
Dhara Amin	1	1	29388
Dharanija Madhavan	1	5	4631
Dharmendra Chaudhary	1	5	4631
Dhavendra Kumar	1	3	12013
Dhawal Jain	1	2	17764
Dheeraj Malholtra	1	2	17764
Dheeraj Malhotra	1	2	17764
Dhiraj Kumar	1	1	29388
Dhirendra Kumar	1	1	29388
Dhrubajyoti Chattopadhyay	1	2	17764
Dhrumil Vyas	1	5	4631
Dhruv Patel	1	2	17764
Dhruv Sareen	2	6	3650
Dhruva Chandramohan	2	10	1419
Dhurjhoti Saha	1	1	29388
Di He	1	2	17764
Di Liu	2	8	2314
Di Wu	2	2	17764
Di Zhang	2	6	3650
Diamantis Sellis	2	7	2850
Diamond Wheeler	1	1	29388
Dian Donnai	1	3	12013
Diana Baralle	1	3	12013
Diana Best	1	5	4631
Diana Bilton	1	5	4631
Diana Bobb	1	1	29388
Diana Castillo-Padilla	1	3	12013
Diana Chang	3	6	3650
Diana Cousminer	1	2	17764
Diana Djurfeldt	1	1	29388
Diana Domanska	1	1	29388
Diana Ferreira	1	1	29388
Diana Fusco	1	1	29388
Diana Garcia-Morales	1	2	17764
Diana Gizatullina	1	3	12013
Diana Jeon	1	3	12013
Diana Johnson	1	3	12013
Diana Jordan	1	5	4631
Diana Miao	1	5	4631
Diana Mitchell	1	1	29388
Diana Molino	1	1	29388
Diana Monteoliva	1	2	17764
Diana Munera	1	1	29388
Diana Nemergut	2	4	10491
Diana Northup	1	5	4631
Diana Perkins	1	2	17764
Diana Pires	1	1	29388
Diana Rajan	1	3	12013
Diana Ravens	1	3	12013
Diana Rien	1	1	29388
Diana Rios-Szwed	1	2	17764
Diana Rojas	3	6	3650
Diana Syam	1	2	17764
Diana Teheri	1	2	17764
Diana Verboom	1	2	17764
Diana Wellesley	1	3	12013
Diana van Heemst	2	4	10491
Dianbo Liu	1	2	17764
Diane Bauer	1	2	17764
Diane Bayron	1	2	17764
Diane Beck	1	2	17764
Diane Berry	1	1	29388
Diane Dickel	1	2	17764
Diane Esquerre	1	2	17764
Diane Gage	1	5	4631
Diane Genereux	2	2	17764
Diane Henry	1	2	17764
Diane Hoffman-Kim	1	1	29388
Diane McKnight	1	2	17764
Diane Meziere	1	2	17764
Diane Pataki	1	1	29388
Diane Ryu	1	1	29388
Diane Saunders	4	17	473
Diane Schnitkey	1	1	29388
Diane Srivastava	1	5	4631
Dianhui Wang	2	6	3650
Dianne Newbury	2	3	12013
Dianne Velasco	1	2	17764
Diarmaid Hughes	1	2	17764
Diarmuid O'Maoileidigh	1	3	12013
Diawo Diallo	1	3	12013
Dibyendu Sasmal	1	1	29388
Dick Mosser	1	1	29388
Dick Schijven	1	2	17764
Dick Stegeman	1	2	17764
Dick de Ridder	2	3	12013
Dick van Soolingen	1	1	29388
Dickon Humphrey	1	3	12013
Didac Santesmasses	1	2	17764
Didi He	1	5	4631
Didier Auboeuf	1	2	17764
Didier Casane	1	3	12013
Didier Fontenille	2	2	17764
Didier Lacombe	1	5	4631
Didier Tharreau	1	5	4631
Diederik van de Beek	1	3	12013
Diego Alvarado-Serrano	2	4	10491
Diego Ardila	1	1	29388
Diego Ardissino	1	3	12013
Diego Ayala	1	5	4631
Diego Bogarin	1	1	29388
Diego Calderon	1	5	4631
Diego Cambuy	1	5	4631
Diego Carrella	1	1	29388
Diego Darriba	3	8	2314
Diego Echeverri-Garcia	1	2	17764
Diego Garrido-Martin	1	2	17764
Diego Gelsinger	1	3	12013
