DOI	Date	License
10.1101/002022	2014-01-23	None
10.1101/002048	2014-01-24	None
10.1101/002063	2014-01-24	CC BY-NC-ND
10.1101/002071	2014-01-26	None
10.1101/002097	2014-01-26	CC BY
10.1101/002105	2014-03-14	CC BY-NC
10.1101/002121	2014-02-02	CC BY-ND
10.1101/002139	2014-01-27	None
10.1101/002147	2014-01-27	CC BY-NC-ND
10.1101/002170	2014-01-28	CC BY-NC-ND
10.1101/002188	2014-06-05	CC BY-NC-ND
10.1101/002196	2014-01-28	CC BY-NC-ND
10.1101/002204	2014-01-28	CC BY-NC-ND
10.1101/002238	2014-03-11	CC BY
10.1101/002261	2014-01-30	None
10.1101/002279	2014-02-06	CC BY
10.1101/002287	2014-10-14	CC BY-NC-ND
10.1101/002295	2014-07-10	CC BY-ND
10.1101/002303	2014-01-31	CC BY-NC-ND
10.1101/002311	2014-02-03	None
10.1101/002329	2014-02-03	CC BY-NC-ND
10.1101/002337	2014-02-07	CC BY-NC-ND
10.1101/002345	2014-06-19	CC BY-NC-ND
10.1101/002352	2014-02-04	CC BY-NC
10.1101/002360	2014-02-05	CC BY-NC
10.1101/002378	2014-02-05	CC BY-NC-ND
10.1101/002386	2014-02-04	CC BY-NC-ND
10.1101/002410	2014-02-06	CC BY-NC-ND
10.1101/002428	2014-06-09	CC BY-NC-ND
10.1101/002436	2014-02-06	CC BY-NC-ND
10.1101/002444	2014-02-06	None
10.1101/002469	2014-02-07	CC BY-NC-ND
10.1101/002485	2015-08-11	CC BY
10.1101/002493	2014-02-07	CC BY-ND
10.1101/002501	2014-02-12	None
10.1101/002519	2014-02-11	CC BY-NC-ND
10.1101/002527	2014-02-09	CC BY
10.1101/002550	2014-08-12	CC BY-NC-ND
10.1101/002576	2014-02-11	None
10.1101/002584	2014-02-19	CC BY-NC-ND
10.1101/002600	2014-02-12	CC BY-NC-ND
10.1101/002618	2014-02-12	None
10.1101/002626	2014-11-03	None
10.1101/002634	2015-02-24	CC BY
10.1101/002642	2014-03-11	CC BY-NC-ND
10.1101/002659	2014-03-27	None
10.1101/002667	2014-02-13	None
10.1101/002675	2014-04-15	CC BY
10.1101/002683	2014-05-05	CC BY-NC-ND
10.1101/002691	2014-02-15	CC BY-NC-ND
10.1101/002709	2014-06-30	CC BY-NC
10.1101/002717	2014-03-12	CC BY-NC
10.1101/002725	2014-03-09	CC BY-NC-ND
10.1101/002741	2014-02-18	CC BY-NC
10.1101/002766	2014-02-17	CC BY
10.1101/002782	2015-11-12	CC BY-ND
10.1101/002790	2014-02-18	CC BY-NC-ND
10.1101/002808	2014-02-18	CC BY-NC-ND
10.1101/002816	2014-09-26	CC BY-NC-ND
10.1101/002824	2014-08-19	CC BY
10.1101/002832	2014-11-17	CC BY
10.1101/002865	2014-02-20	CC BY-NC-ND
10.1101/002873	2014-02-20	CC BY-NC-ND
10.1101/002881	2014-02-20	CC BY-NC-ND
10.1101/002899	2014-04-27	CC BY
10.1101/002907	2014-02-21	CC BY-NC-ND
10.1101/002923	2014-02-21	None
10.1101/002931	2014-02-21	None
10.1101/002956	2014-02-23	CC BY
10.1101/002964	2014-09-16	None
10.1101/002972	2014-02-24	CC BY-NC-ND
10.1101/002980	2014-02-24	CC BY-NC
10.1101/002998	2014-02-24	None
10.1101/003004	2014-02-25	CC BY-NC-ND
10.1101/003012	2014-02-25	CC BY-NC-ND
10.1101/003053	2014-02-26	CC BY
10.1101/003061	2014-02-27	CC BY
10.1101/003087	2014-11-24	None
10.1101/003095	2014-02-27	None
10.1101/003103	2014-02-28	None
10.1101/003111	2014-02-28	None
10.1101/003129	2014-02-28	None
10.1101/003137	2014-02-28	None
10.1101/003145	2014-02-28	None
10.1101/003152	2014-03-02	CC BY-NC
10.1101/003160	2014-03-04	CC BY-ND
10.1101/003178	2014-12-11	CC BY-NC-ND
10.1101/003186	2014-03-04	CC BY-NC-ND
10.1101/003194	2014-05-28	CC BY-NC-ND
10.1101/003202	2014-03-05	None
10.1101/003210	2014-03-05	CC BY
10.1101/003228	2014-03-05	None
10.1101/003236	2014-03-05	None
10.1101/003244	2014-03-11	CC BY-NC-ND
10.1101/003269	2014-06-16	None
10.1101/003277	2014-04-11	CC BY-ND
10.1101/003285	2014-03-10	CC BY
10.1101/003293	2014-03-13	None
10.1101/003319	2014-09-02	CC BY-NC-ND
10.1101/003327	2014-03-17	CC BY-NC-ND
10.1101/003335	2014-03-18	CC BY-NC-ND
10.1101/003350	2014-03-17	CC BY-NC-ND
10.1101/003368	2014-03-17	CC BY-NC-ND
10.1101/003376	2014-03-17	None
10.1101/003384	2014-04-23	CC BY-ND
10.1101/003400	2014-06-20	CC BY-NC
10.1101/003442	2014-03-19	CC BY-NC-ND
10.1101/003459	2014-03-19	None
10.1101/003467	2014-03-19	None
10.1101/003475	2014-03-20	None
10.1101/003483	2014-03-21	CC BY-NC
10.1101/003491	2014-03-21	CC BY-NC-ND
10.1101/003517	2014-03-21	None
10.1101/003525	2014-03-23	CC BY
10.1101/003533	2014-03-26	None
10.1101/003541	2014-03-26	CC BY-NC-ND
10.1101/003558	2014-03-25	CC BY
10.1101/003566	2014-03-25	None
10.1101/003574	2014-03-27	None
10.1101/003608	2014-04-14	CC BY-NC-ND
10.1101/003616	2014-03-27	None
10.1101/003624	2014-03-30	CC BY-ND
10.1101/003640	2014-03-28	CC BY
10.1101/003657	2014-09-02	CC BY
10.1101/003665	2014-09-05	CC BY
10.1101/003673	2014-03-30	None
10.1101/003707	2014-04-14	CC BY-NC-ND
10.1101/003723	2014-05-19	CC BY
10.1101/003731	2014-04-02	CC BY-NC-ND
10.1101/003749	2014-04-02	CC BY-NC-ND
10.1101/003756	2014-04-14	CC BY-NC
10.1101/003764	2014-04-02	CC BY-NC
10.1101/003772	2014-04-02	CC BY-NC-ND
10.1101/003780	2014-09-02	None
10.1101/003806	2014-09-29	CC BY-ND
10.1101/003848	2014-06-11	CC BY
10.1101/003863	2014-10-29	CC BY-ND
10.1101/003871	2014-08-27	CC BY
10.1101/003889	2014-06-04	None
10.1101/003897	2014-04-04	CC BY-NC-ND
10.1101/003905	2014-05-22	CC BY
10.1101/003913	2014-04-04	None
10.1101/003921	2014-07-29	CC BY-NC-ND
10.1101/003939	2014-04-15	CC BY
10.1101/003947	2014-04-09	CC BY
10.1101/003954	2014-04-06	CC BY-NC-ND
10.1101/003962	2014-04-07	CC BY
10.1101/003988	2014-07-15	CC BY
10.1101/004002	2014-10-31	CC BY
10.1101/004010	2014-06-12	CC BY-NC-ND
10.1101/004028	2014-04-09	CC BY-NC-ND
10.1101/004036	2015-04-15	CC BY
10.1101/004101	2014-04-11	None
10.1101/004119	2014-10-03	CC BY-NC-ND
10.1101/004127	2014-04-14	CC BY
10.1101/004135	2014-04-11	CC BY-NC-ND
10.1101/004168	2014-04-11	CC BY-NC-ND
10.1101/004176	2014-04-14	CC BY-NC
10.1101/004184	2014-11-28	CC BY
10.1101/004192	2015-02-28	CC BY-NC-ND
10.1101/004218	2014-04-14	CC BY-NC-ND
10.1101/004226	2014-04-15	CC BY-NC-ND
10.1101/004234	2014-04-17	CC BY-NC-ND
10.1101/004242	2014-04-20	None
10.1101/004259	2014-04-28	None
10.1101/004267	2014-04-17	None
10.1101/004283	2014-06-30	CC BY
10.1101/004291	2014-04-18	CC BY-NC-ND
10.1101/004309	2014-04-21	CC BY
10.1101/004317	2014-06-10	None
10.1101/004325	2015-01-16	CC BY
