DOI	Date	License
10.1101/040311	2016-03-09	CC BY
10.1101/040337	2016-02-19	CC BY-NC-ND
10.1101/040345	2016-02-19	CC BY-NC-ND
10.1101/040352	2016-02-22	None
10.1101/040360	2016-02-19	None
10.1101/040386	2016-03-09	CC BY-ND
10.1101/040394	2016-02-21	None
10.1101/040402	2016-02-19	None
10.1101/040410	2016-04-15	CC BY-NC-ND
10.1101/040428	2016-02-19	CC BY-NC-ND
10.1101/040436	2016-02-21	CC BY-NC
10.1101/040477	2016-02-21	CC BY-NC-ND
10.1101/040485	2016-03-08	CC BY-ND
10.1101/040493	2016-02-23	CC BY-NC-ND
10.1101/040501	2016-02-21	None
10.1101/040519	2016-02-21	None
10.1101/040527	2016-02-22	CC BY
10.1101/040543	2016-02-22	None
10.1101/040568	2016-02-22	CC BY-NC-ND
10.1101/040576	2016-02-22	None
10.1101/040584	2016-02-22	CC BY
10.1101/040592	2016-02-22	None
10.1101/040600	2016-02-22	None
10.1101/040618	2016-02-22	CC BY
10.1101/040626	2016-02-22	CC BY-NC-ND
10.1101/040634	2016-02-22	CC BY-ND
10.1101/040642	2016-03-22	CC BY-NC-ND
10.1101/040659	2016-02-23	None
10.1101/040667	2016-02-22	CC BY-ND
10.1101/040675	2016-02-22	CC BY
10.1101/040717	2016-02-24	CC BY-ND
10.1101/040733	2016-02-22	CC BY-NC-ND
10.1101/040741	2016-02-23	CC BY-ND
10.1101/040899	2016-03-03	CC BY-NC-ND
10.1101/040907	2016-03-04	CC BY-NC-ND
10.1101/040923	2016-02-23	CC BY-NC-ND
10.1101/040931	2016-02-23	CC BY
10.1101/040956	2016-02-23	None
10.1101/040964	2016-02-23	CC BY
10.1101/040980	2016-02-23	CC BY
10.1101/040998	2016-02-23	CC BY-NC
10.1101/041004	2016-02-23	None
10.1101/041012	2016-02-24	None
10.1101/041020	2016-03-06	None
10.1101/041038	2016-02-23	CC BY-ND
10.1101/041061	2016-02-28	CC BY-NC-ND
10.1101/041079	2016-02-23	CC BY-ND
10.1101/041087	2016-04-13	CC BY-NC
10.1101/041095	2016-02-24	CC BY-NC
10.1101/041103	2016-03-02	None
10.1101/041111	2016-02-24	None
10.1101/041137	2016-02-29	None
10.1101/041145	2016-02-23	None
10.1101/041152	2016-02-24	None
10.1101/041178	2016-02-24	CC BY
10.1101/041186	2016-02-24	CC BY-NC-ND
10.1101/041202	2016-02-24	None
10.1101/041236	2016-03-28	CC BY
10.1101/041244	2016-02-24	None
10.1101/041277	2016-02-26	CC BY
10.1101/041285	2016-02-25	CC BY
10.1101/041301	2016-02-26	None
10.1101/041327	2016-02-25	CC BY-NC-ND
10.1101/041335	2016-02-25	None
10.1101/041343	2016-03-31	None
10.1101/041368	2016-02-26	CC BY-NC-ND
10.1101/041376	2016-02-25	CC BY-NC
10.1101/041384	2016-03-02	CC BY-NC
10.1101/041400	2016-02-26	CC BY-NC-ND
10.1101/041418	2016-02-25	CC BY
10.1101/041426	2016-02-26	CC BY-NC-ND
10.1101/041434	2016-02-26	None
10.1101/041459	2016-02-26	None
10.1101/041467	2016-02-26	None
10.1101/041475	2016-02-26	CC BY
10.1101/041483	2016-02-26	CC BY
10.1101/041491	2016-02-26	None
10.1101/041509	2016-02-26	None
10.1101/041525	2016-02-26	None
10.1101/041533	2016-03-01	CC BY-NC
10.1101/041541	2016-02-27	CC BY-NC-ND
10.1101/041558	2016-02-26	None
10.1101/041566	2016-02-26	CC BY-ND
10.1101/041582	2016-02-29	CC BY
10.1101/041608	2016-02-28	None
10.1101/041616	2016-02-28	CC BY-NC-ND
10.1101/041624	2016-02-29	None
10.1101/041632	2016-02-28	CC BY-NC-ND
10.1101/041640	2016-02-29	None
10.1101/041665	2016-02-28	CC BY-NC-ND
10.1101/041673	2016-02-28	CC BY-NC-ND
10.1101/041699	2016-02-29	CC BY-NC
10.1101/041707	2016-02-28	CC BY-NC-ND
10.1101/041715	2016-02-29	None
10.1101/041723	2016-02-29	CC BY-NC
10.1101/041731	2016-02-29	None
10.1101/041749	2016-02-29	CC BY-NC-ND
10.1101/041756	2016-02-29	CC BY-NC-ND
10.1101/041772	2016-02-29	CC BY-NC
10.1101/041780	2016-02-29	CC BY-NC-ND
10.1101/041798	2016-04-13	CC BY
10.1101/041806	2016-03-19	CC BY-ND
10.1101/041822	2016-02-29	None
10.1101/041830	2016-02-29	CC BY
10.1101/041848	2016-02-29	None
10.1101/041855	2016-03-07	CC BY-NC-ND
10.1101/041863	2016-03-02	CC BY
10.1101/041871	2016-03-02	CC BY-NC-ND
10.1101/041889	2016-02-29	CC BY
10.1101/041897	2016-03-07	CC BY-ND
10.1101/041905	2016-03-01	None
10.1101/041913	2016-03-02	None
10.1101/041921	2016-03-01	CC BY
10.1101/041947	2016-03-02	None
10.1101/041962	2016-03-02	CC BY
10.1101/041988	2016-03-02	CC BY-NC-ND
10.1101/041996	2016-03-01	CC BY-NC-ND
10.1101/042002	2016-03-01	CC BY-NC
10.1101/042010	2016-03-01	CC BY-NC
10.1101/042028	2016-03-01	CC BY-NC-ND
10.1101/042036	2016-03-01	CC BY-NC-ND
10.1101/042044	2016-03-01	CC BY-NC
10.1101/042051	2016-03-01	None
10.1101/042069	2016-03-01	None
10.1101/042085	2016-03-01	CC BY-NC-ND
10.1101/042101	2016-03-10	None
10.1101/042119	2016-03-02	CC BY-ND
10.1101/042127	2016-03-04	None
10.1101/042135	2016-03-02	CC BY-NC-ND
10.1101/042143	2016-03-26	CC BY
10.1101/042150	2016-03-02	CC BY
10.1101/042168	2016-03-02	None
10.1101/042176	2016-03-03	None
10.1101/042184	2016-03-02	None
10.1101/042192	2016-03-16	CC BY-NC-ND
10.1101/042200	2016-03-04	CC BY-ND
10.1101/042218	2016-03-06	CC BY-NC-ND
10.1101/042226	2016-03-03	CC BY-NC-ND
10.1101/042234	2016-03-03	None
10.1101/042242	2016-03-03	CC BY-NC-ND
10.1101/042267	2016-03-03	CC BY-NC-ND
10.1101/042275	2016-03-03	CC BY
10.1101/042291	2016-03-03	CC BY-NC-ND
10.1101/042309	2016-03-03	CC BY-NC-ND
10.1101/042317	2016-03-03	CC BY-NC-ND
10.1101/042325	2016-03-03	CC BY-NC-ND
10.1101/042333	2016-03-03	CC BY-ND
10.1101/042341	2016-03-04	None
10.1101/042358	2016-03-04	None
10.1101/042366	2016-03-06	None
10.1101/042374	2016-03-04	CC BY
10.1101/042382	2016-03-06	CC BY-NC-ND
10.1101/042390	2016-03-04	CC BY-NC-ND
10.1101/042408	2016-03-04	CC BY-NC-ND
10.1101/042416	2016-03-04	CC BY
10.1101/042424	2016-03-04	None
10.1101/042432	2016-03-27	None
10.1101/042440	2016-03-05	CC BY-ND
10.1101/042457	2016-03-04	CC BY-NC-ND
10.1101/042481	2016-03-05	CC BY-NC
10.1101/042499	2016-03-05	CC BY-NC-ND
10.1101/042507	2016-04-14	CC BY
10.1101/042515	2016-03-05	CC BY
10.1101/042523	2016-03-05	CC BY-NC
10.1101/042549	2016-03-06	CC BY-NC-ND
10.1101/042572	2016-03-07	None
10.1101/042580	2016-03-11	None
10.1101/042598	2016-03-07	CC BY
10.1101/042614	2016-03-07	None
10.1101/042622	2016-03-31	CC BY
10.1101/042630	2016-03-07	CC BY-NC-ND
10.1101/042655	2016-03-07	None
10.1101/042663	2016-03-07	None
10.1101/042697	2016-03-07	None
10.1101/042705	2016-03-10	CC BY
10.1101/042739	2016-03-07	CC BY-NC-ND
10.1101/042770	2016-03-09	CC BY-NC-ND
10.1101/042788	2016-03-08	CC BY
10.1101/042796	2016-03-08	CC BY
10.1101/042812	2016-03-26	CC BY
10.1101/042820	2016-03-08	CC BY-NC-ND
10.1101/042838	2016-05-24	None
10.1101/042846	2016-03-08	CC BY-NC-ND
10.1101/042853	2016-03-09	CC BY-NC-ND
10.1101/042879	2016-03-09	CC BY-NC-ND
10.1101/042887	2016-03-08	CC BY-NC-ND
10.1101/042895	2016-03-09	None
10.1101/042903	2016-03-09	CC BY-NC-ND
10.1101/042929	2016-03-09	None
10.1101/042937	2016-03-15	CC BY-NC-ND
10.1101/042945	2016-03-24	CC BY-ND
10.1101/042952	2016-03-15	CC BY-NC-ND
10.1101/042978	2016-03-09	None
10.1101/042986	2016-03-13	None
10.1101/042994	2016-03-09	CC BY-NC-ND
10.1101/043000	2016-03-09	None
10.1101/043018	2016-03-30	None
10.1101/043026	2016-03-09	None
10.1101/043034	2016-03-09	None
10.1101/043042	2016-03-13	CC BY
10.1101/043059	2016-04-05	None
10.1101/043075	2016-03-12	CC BY-NC-ND
10.1101/043083	2016-03-10	None
10.1101/043091	2016-03-10	CC BY-NC
10.1101/043109	2016-03-10	CC BY-NC-ND
10.1101/043117	2016-03-10	None
10.1101/043133	2016-03-10	None
10.1101/043158	2016-04-11	CC BY-NC-ND
10.1101/043166	2016-03-10	None
10.1101/043174	2016-03-10	CC BY-NC-ND
10.1101/043182	2016-03-10	CC BY-NC-ND
10.1101/043190	2016-03-12	CC BY-NC
10.1101/043208	2016-03-11	None
10.1101/043224	2016-04-01	CC BY-ND
10.1101/043232	2016-06-18	CC BY-NC-ND
10.1101/043240	2016-03-12	None
10.1101/043257	2016-03-11	CC BY-NC-ND
10.1101/043265	2016-03-24	CC BY
10.1101/043273	2016-03-11	CC BY
10.1101/043281	2016-03-11	None
10.1101/043299	2016-03-11	CC BY
10.1101/043307	2016-03-11	CC BY-NC-ND
10.1101/043315	2016-03-12	CC BY
10.1101/043331	2016-03-12	CC BY-NC-ND
10.1101/043349	2016-03-11	None
10.1101/043364	2016-03-11	CC BY-NC-ND
10.1101/043372	2016-03-17	None
10.1101/043398	2016-03-12	CC BY-NC
10.1101/043414	2016-03-12	CC BY-NC-ND
10.1101/043422	2016-03-12	CC BY-NC-ND
10.1101/043430	2016-03-29	None
10.1101/043448	2016-03-12	CC BY
10.1101/043455	2016-03-12	CC BY-NC-ND
10.1101/043463	2016-03-12	None
10.1101/043471	2016-03-14	CC BY-NC-ND
10.1101/043513	2016-03-15	None
10.1101/043547	2016-03-15	None
10.1101/043554	2016-03-15	None
10.1101/043562	2016-03-15	CC BY-NC-ND
10.1101/043570	2016-03-15	CC BY-NC-ND
10.1101/043604	2016-03-26	CC BY-ND
10.1101/043612	2016-03-23	None
10.1101/043620	2016-03-15	CC BY-NC-ND
10.1101/043638	2016-03-15	CC BY-NC-ND
10.1101/043653	2016-03-15	CC BY
10.1101/043661	2016-03-15	None
10.1101/043679	2016-03-15	None
10.1101/043687	2016-03-15	CC BY-NC
10.1101/043695	2016-03-15	CC BY-ND
10.1101/043711	2016-03-15	None
10.1101/043729	2016-03-15	None
10.1101/043737	2016-03-15	None
10.1101/043745	2016-03-16	CC BY-NC-ND
10.1101/043752	2016-03-15	CC BY
10.1101/043778	2016-03-15	CC BY
10.1101/043786	2016-03-16	CC BY-NC-ND
10.1101/043794	2016-03-15	CC BY-NC-ND
10.1101/043802	2016-03-16	CC BY-NC-ND
10.1101/043810	2016-03-15	CC BY-NC-ND
10.1101/043828	2016-03-15	CC BY-NC
10.1101/043836	2016-03-15	CC BY-NC-ND
10.1101/043844	2016-03-16	None
10.1101/043851	2016-03-15	CC BY-NC
10.1101/043869	2016-03-15	CC BY-NC
10.1101/043877	2016-03-16	CC BY-NC-ND
10.1101/043885	2016-03-17	None
10.1101/043893	2016-03-16	CC BY-NC-ND
10.1101/043901	2016-03-15	CC BY-NC-ND
10.1101/043919	2016-03-16	CC BY
10.1101/043927	2016-03-16	None
10.1101/043935	2016-03-16	CC BY-NC-ND
10.1101/043950	2016-03-16	CC BY-NC-ND
10.1101/043976	2016-03-16	None
10.1101/043992	2016-03-23	CC BY-ND
10.1101/044008	2016-03-16	CC BY
10.1101/044016	2016-03-16	None
10.1101/044024	2016-03-16	CC BY
10.1101/044032	2016-03-16	CC BY-NC-ND
10.1101/044057	2016-04-16	None
10.1101/044065	2016-03-16	CC BY-NC-ND
10.1101/044073	2016-03-17	None
10.1101/044081	2016-03-16	CC BY-NC-ND
10.1101/044099	2016-03-16	CC BY-NC
10.1101/044107	2016-03-16	CC BY-ND
10.1101/044115	2016-04-22	None
10.1101/044123	2016-03-17	CC BY-NC
10.1101/044131	2016-03-16	CC BY-NC-ND
10.1101/044149	2016-03-16	CC BY-NC-ND
10.1101/044156	2016-03-18	CC BY-NC-ND
10.1101/044164	2016-04-01	CC BY-NC-ND
10.1101/044172	2016-03-21	None
10.1101/044180	2016-03-17	CC BY-NC
10.1101/044198	2016-03-16	None
10.1101/044206	2016-03-16	CC BY-NC-ND
10.1101/044214	2016-03-16	CC BY-NC
10.1101/044230	2016-03-17	CC BY-NC-ND
10.1101/044248	2016-03-19	CC BY-NC-ND
10.1101/044289	2016-03-18	CC BY
10.1101/044305	2016-03-17	CC BY
10.1101/044339	2016-03-18	CC BY-NC-ND
10.1101/044354	2016-03-17	CC BY-NC-ND
10.1101/044362	2016-03-17	CC BY-ND
10.1101/044370	2016-03-21	None
10.1101/044396	2016-03-18	None
10.1101/044412	2016-03-22	CC BY-NC-ND
10.1101/044420	2016-03-17	None
10.1101/044438	2016-03-18	CC BY-NC-ND
10.1101/044446	2016-03-18	None
10.1101/044453	2016-03-17	CC BY-NC-ND
10.1101/044461	2016-03-18	None
10.1101/044487	2016-03-18	None
10.1101/044495	2016-03-18	CC BY-ND
10.1101/044503	2016-03-18	None
10.1101/044537	2016-03-19	CC BY-NC-ND
10.1101/044545	2016-03-18	CC BY-ND
10.1101/044552	2016-03-19	CC BY
10.1101/044578	2016-03-19	CC BY
10.1101/044586	2016-03-18	None
10.1101/044594	2016-03-30	CC BY-NC-ND
10.1101/044602	2016-03-19	CC BY-NC-ND
10.1101/044628	2016-03-18	None
10.1101/044636	2016-03-18	None
10.1101/044644	2016-03-18	CC BY-NC-ND
10.1101/044651	2016-04-20	CC BY-ND
10.1101/044669	2016-03-21	CC BY-NC-ND
10.1101/044677	2016-03-18	CC BY-NC-ND
10.1101/044693	2016-03-26	CC BY-NC-ND
10.1101/044701	2016-04-05	CC BY
10.1101/044719	2016-03-19	CC BY
10.1101/044735	2016-03-19	CC BY-NC-ND
10.1101/044743	2016-03-19	CC BY-NC-ND
10.1101/044768	2016-03-31	None
10.1101/044784	2016-03-19	None
10.1101/044792	2016-03-19	None
10.1101/044800	2016-03-19	CC BY-NC-ND
10.1101/044818	2016-03-21	CC BY-NC-ND
10.1101/044826	2016-03-19	CC BY
10.1101/044834	2016-03-19	CC BY-NC-ND
10.1101/044859	2016-03-21	CC BY
10.1101/044875	2016-03-21	CC BY-NC-ND
10.1101/044891	2016-03-25	None
10.1101/044909	2016-03-20	None
10.1101/044917	2016-03-21	CC BY
10.1101/044925	2016-03-20	None
10.1101/044933	2016-03-22	CC BY-NC
10.1101/044941	2016-03-21	CC BY
10.1101/044958	2016-03-21	CC BY-NC-ND
10.1101/044966	2016-03-21	CC BY
10.1101/044974	2016-03-21	None
10.1101/044982	2016-03-21	CC BY-NC
10.1101/044990	2016-04-08	CC BY-NC-ND
10.1101/045005	2016-03-25	None
10.1101/045013	2016-03-21	None
10.1101/045021	2016-03-21	CC BY-NC
10.1101/045039	2016-03-21	CC BY-ND
10.1101/045047	2016-03-21	CC BY
10.1101/045054	2016-03-23	None
10.1101/045062	2016-04-13	CC BY
10.1101/045070	2016-03-22	CC BY-NC-ND
10.1101/045088	2016-03-21	CC BY-NC-ND
10.1101/045096	2016-03-22	CC BY-ND
10.1101/045104	2016-04-04	CC BY
10.1101/045146	2016-03-22	None
10.1101/045153	2016-03-27	CC BY-NC-ND
10.1101/045161	2016-03-22	CC BY
10.1101/045179	2016-03-23	None
10.1101/045187	2016-03-23	None
10.1101/045195	2016-03-23	CC BY
10.1101/045211	2016-03-22	None
10.1101/045237	2016-03-22	CC BY-NC-ND
10.1101/045245	2016-03-22	CC BY-NC-ND
10.1101/045252	2016-03-23	CC BY-NC-ND
10.1101/045260	2016-03-23	CC BY
10.1101/045278	2016-03-23	CC BY-ND
10.1101/045286	2016-03-23	None
10.1101/045294	2016-03-23	CC BY-NC-ND
10.1101/045310	2016-03-23	CC BY-NC-ND
10.1101/045328	2016-03-23	CC BY-NC-ND
10.1101/045336	2016-03-24	None
10.1101/045344	2016-03-24	CC BY-ND
10.1101/045351	2016-03-26	None
10.1101/045369	2016-03-24	None
10.1101/045377	2016-03-30	CC BY-NC-ND
10.1101/045385	2016-03-23	None
10.1101/045419	2016-03-29	None
10.1101/045427	2016-03-24	CC BY-NC-ND
10.1101/045435	2016-03-23	CC BY-ND
10.1101/045443	2016-03-24	None
10.1101/045450	2016-03-24	CC BY-NC-ND
10.1101/045468	2016-03-24	CC BY-ND
10.1101/045518	2016-03-24	CC BY-NC-ND
10.1101/045526	2016-03-24	CC BY
10.1101/045534	2016-03-29	CC BY
10.1101/045542	2016-03-24	CC BY
10.1101/045559	2016-03-26	CC BY
10.1101/045567	2016-03-24	CC BY-ND
10.1101/045583	2016-03-24	CC BY-ND
10.1101/045591	2016-04-05	None
10.1101/045609	2016-03-24	CC BY
10.1101/045617	2016-03-24	None
10.1101/045625	2016-03-24	None
10.1101/045633	2016-03-24	CC BY-NC-ND
10.1101/045666	2016-04-13	CC BY
10.1101/045674	2016-03-25	CC BY-NC-ND
10.1101/045682	2016-03-30	None
10.1101/045690	2016-03-29	CC BY
10.1101/045708	2016-03-25	CC BY-NC-ND
10.1101/045716	2016-03-25	None
10.1101/045724	2016-03-25	None
10.1101/045732	2016-03-31	CC BY-NC
10.1101/045740	2016-03-25	None
10.1101/045757	2016-04-04	None
10.1101/045765	2016-03-25	CC BY-NC-ND
10.1101/045773	2016-03-25	CC BY
10.1101/045781	2016-03-25	None
10.1101/045799	2016-03-26	CC BY-NC-ND
10.1101/045807	2016-03-27	None
10.1101/045823	2016-03-27	CC BY-NC-ND
10.1101/045831	2016-03-25	CC BY-NC-ND
10.1101/045856	2016-04-08	None
10.1101/045864	2016-03-27	CC BY-NC-ND
10.1101/045872	2016-03-27	CC BY-NC-ND
10.1101/045880	2016-03-27	CC BY
10.1101/045898	2016-03-27	CC BY-NC
10.1101/045914	2016-03-27	CC BY-NC
10.1101/045922	2016-04-06	CC BY-NC-ND
10.1101/045930	2016-03-28	CC BY-NC-ND
10.1101/045948	2016-03-28	CC BY-NC-ND
10.1101/045955	2016-03-28	None
10.1101/045963	2016-03-28	CC BY-NC-ND
10.1101/045989	2016-03-27	None
10.1101/046003	2016-03-28	CC BY-NC
10.1101/046037	2016-03-28	None
10.1101/046045	2016-03-28	None
10.1101/046052	2016-03-28	CC BY-NC-ND
10.1101/046060	2016-03-31	CC BY-NC-ND
10.1101/046086	2016-03-28	CC BY
10.1101/046094	2016-03-28	CC BY-NC-ND
10.1101/046102	2016-03-29	CC BY-ND
10.1101/046110	2016-03-29	CC BY-NC-ND
10.1101/046128	2016-03-29	CC BY
10.1101/046136	2016-03-29	CC BY-NC-ND
10.1101/046144	2016-04-04	CC BY-NC-ND
10.1101/046151	2016-03-30	CC BY-NC-ND
10.1101/046169	2016-03-30	CC BY
10.1101/046177	2016-03-30	CC BY-NC-ND
10.1101/046185	2016-03-29	CC BY
10.1101/046193	2016-03-29	None
10.1101/046201	2016-03-29	CC BY-NC-ND
10.1101/046219	2016-04-11	CC BY-NC-ND
10.1101/046227	2016-03-29	CC BY
10.1101/046243	2016-03-29	CC BY-NC-ND
10.1101/046276	2016-03-30	None
10.1101/046300	2016-03-30	None
10.1101/046318	2016-10-26	None
10.1101/046334	2016-03-30	CC BY-ND
10.1101/046359	2016-03-30	CC BY-NC
10.1101/046367	2016-03-30	CC BY-NC-ND
10.1101/046375	2016-03-31	CC BY-NC-ND
10.1101/046383	2016-03-31	CC BY-NC-ND
10.1101/046391	2016-03-31	CC BY-NC
10.1101/046409	2016-03-31	CC BY-NC
10.1101/046417	2016-03-31	CC BY-ND
10.1101/046425	2016-03-31	CC BY-NC-ND
10.1101/046441	2016-03-31	CC BY-NC-ND
10.1101/046474	2016-04-02	CC BY-NC-ND
10.1101/046482	2016-03-31	CC BY-NC-ND
10.1101/046490	2016-03-31	CC BY-NC-ND
10.1101/046508	2016-03-31	CC BY-NC
10.1101/046516	2016-03-31	CC BY-ND
10.1101/046524	2016-03-31	CC BY
10.1101/046532	2016-03-31	CC BY
10.1101/046540	2016-04-06	CC BY-NC-ND
10.1101/046557	2016-03-31	None
10.1101/046565	2016-04-03	None
10.1101/046573	2016-03-31	CC BY
10.1101/046581	2016-03-31	CC BY
10.1101/046599	2016-03-31	None
10.1101/046607	2016-03-31	CC BY-NC-ND
10.1101/046631	2016-03-31	CC BY-NC
10.1101/046649	2016-03-31	CC BY-ND
10.1101/046656	2016-03-31	CC BY-NC-ND
10.1101/046664	2016-03-31	CC BY-NC-ND
10.1101/046714	2016-04-02	CC BY-NC-ND
10.1101/046722	2016-04-02	CC BY-ND
10.1101/046730	2016-04-02	CC BY-NC-ND
10.1101/046748	2016-04-01	CC BY-NC
10.1101/046755	2016-04-05	CC BY-NC-ND
10.1101/046771	2016-04-06	None
10.1101/046789	2016-04-15	CC BY-NC-ND
10.1101/046797	2016-04-14	CC BY-NC-ND
10.1101/046805	2016-04-02	CC BY-ND
10.1101/046813	2016-04-02	None
10.1101/046821	2016-04-02	CC BY-NC
10.1101/046839	2016-04-02	None
10.1101/046847	2016-04-02	CC BY
10.1101/046870	2016-04-03	None
10.1101/046888	2016-04-03	CC BY-NC-ND
10.1101/046896	2016-04-03	CC BY-NC
10.1101/046904	2016-04-03	CC BY-NC
10.1101/046912	2016-04-03	CC BY
10.1101/046920	2016-04-03	CC BY-NC-ND
10.1101/046938	2016-04-06	None
10.1101/046946	2016-04-05	CC BY-NC-ND
10.1101/046953	2016-04-05	None
10.1101/046961	2016-04-05	CC BY-NC-ND
10.1101/046979	2016-05-21	None
10.1101/046987	2016-04-06	CC BY-ND
10.1101/046995	2016-04-05	None
10.1101/047001	2016-04-04	CC BY
10.1101/047019	2016-04-05	CC BY
10.1101/047035	2016-04-06	None
10.1101/047043	2016-04-04	None
10.1101/047050	2016-04-05	CC BY-NC-ND
10.1101/047100	2016-04-05	None
10.1101/047118	2016-04-06	CC BY
10.1101/047126	2016-04-06	None
10.1101/047134	2016-04-04	CC BY-ND
10.1101/047142	2016-04-04	CC BY
10.1101/047167	2016-04-05	CC BY
10.1101/047175	2016-04-05	CC BY-NC-ND
10.1101/047183	2016-04-05	None
10.1101/047209	2016-04-06	CC BY-NC-ND
10.1101/047217	2016-04-06	CC BY
10.1101/047225	2016-04-06	None
10.1101/047233	2016-04-05	CC BY-ND
10.1101/047241	2016-04-06	None
10.1101/047266	2016-04-13	None
10.1101/047274	2016-04-08	CC BY-NC
10.1101/047282	2016-04-07	CC BY
10.1101/047290	2016-04-05	None
10.1101/047308	2016-04-05	CC BY-NC-ND
10.1101/047316	2016-04-05	CC BY
10.1101/047324	2016-04-05	CC BY-NC
10.1101/047332	2016-04-05	CC BY
10.1101/047357	2016-04-05	None
10.1101/047365	2016-04-05	CC BY
10.1101/047431	2016-04-06	None
10.1101/047456	2016-04-06	None
10.1101/047464	2016-04-06	CC BY
10.1101/047472	2016-04-06	None
10.1101/047480	2016-04-06	CC BY-NC-ND
10.1101/047498	2016-04-06	CC BY-NC-ND
10.1101/047506	2016-04-06	CC BY-NC-ND
10.1101/047514	2016-04-06	CC BY-NC-ND
10.1101/047522	2016-04-06	CC BY-NC
10.1101/047530	2016-04-06	CC BY-NC-ND
10.1101/047555	2016-04-07	None
10.1101/047563	2016-04-13	CC BY-NC-ND
10.1101/047571	2016-04-07	CC BY
10.1101/047589	2016-04-08	CC BY-NC-ND
10.1101/047597	2016-04-08	None
10.1101/047605	2016-04-08	CC BY-NC-ND
10.1101/047613	2016-04-08	CC BY
10.1101/047621	2016-04-13	CC BY-NC-ND
10.1101/047639	2016-04-08	CC BY-NC-ND
10.1101/047647	2016-04-08	None
10.1101/047654	2016-04-08	None
10.1101/047670	2016-04-08	CC BY-NC-ND
10.1101/047696	2016-04-08	None
10.1101/047704	2016-04-08	CC BY
10.1101/047712	2016-04-08	CC BY-NC
10.1101/047720	2016-04-08	CC BY
10.1101/047746	2016-04-08	CC BY-NC-ND
10.1101/047753	2016-04-08	CC BY-NC-ND
10.1101/047761	2016-04-08	None
10.1101/047779	2016-04-08	None
10.1101/047787	2016-04-08	CC BY-NC-ND
10.1101/047795	2016-04-09	None
10.1101/047803	2016-04-09	None
10.1101/047811	2016-04-09	None
10.1101/047829	2016-04-10	CC BY-NC-ND
10.1101/047837	2016-04-09	CC BY-NC-ND
10.1101/047845	2016-04-09	None
10.1101/047860	2016-04-09	CC BY-NC-ND
10.1101/047878	2016-04-09	CC BY-ND
10.1101/047886	2016-04-09	CC BY-NC-ND
10.1101/047894	2016-04-20	CC BY-NC-ND
10.1101/047902	2016-04-09	CC BY-NC-ND
10.1101/047910	2016-04-10	None
10.1101/047936	2016-04-10	None
10.1101/047969	2016-04-10	CC BY-NC-ND
10.1101/047985	2016-04-10	None
10.1101/048009	2016-04-10	None
10.1101/048033	2016-04-10	CC BY-NC-ND
10.1101/048058	2016-04-11	CC BY-NC
10.1101/048066	2016-04-11	None
10.1101/048074	2016-04-11	CC BY
10.1101/048082	2016-04-12	None
10.1101/048108	2016-04-11	None
10.1101/048116	2016-04-12	CC BY-NC-ND
10.1101/048124	2016-04-11	None
10.1101/048132	2016-04-13	None
10.1101/048157	2016-04-11	CC BY-NC-ND
10.1101/048165	2016-04-11	CC BY-NC-ND
10.1101/048173	2016-04-15	CC BY-NC-ND
10.1101/048181	2016-04-13	CC BY-NC-ND
10.1101/048199	2016-04-12	None
10.1101/048207	2016-04-13	None
10.1101/048215	2016-04-13	CC BY-NC-ND
10.1101/048249	2016-04-12	CC BY
10.1101/048256	2016-04-13	CC BY-NC
10.1101/048264	2016-04-13	CC BY-NC-ND
10.1101/048272	2016-04-13	CC BY-NC-ND
10.1101/048280	2016-04-12	CC BY
10.1101/048322	2016-04-13	CC BY-NC-ND
10.1101/048330	2016-04-13	None
10.1101/048348	2016-04-13	CC BY
10.1101/048355	2016-04-13	CC BY-NC-ND
10.1101/048363	2016-04-13	CC BY-NC-ND
10.1101/048371	2016-04-13	None
10.1101/048389	2016-04-12	CC BY
10.1101/048397	2016-04-13	CC BY
10.1101/048405	2016-04-13	CC BY-NC-ND
10.1101/048413	2016-04-13	CC BY-NC-ND
10.1101/048421	2016-04-13	CC BY-ND
10.1101/048439	2016-04-13	None
10.1101/048454	2016-04-13	CC BY-NC-ND
10.1101/048462	2016-04-13	CC BY-ND
10.1101/048470	2016-04-13	CC BY-NC-ND
10.1101/048496	2016-04-13	CC BY-NC-ND
10.1101/048504	2016-04-19	CC BY-NC-ND
10.1101/048512	2016-04-13	None
10.1101/048520	2016-04-13	CC BY-NC-ND
10.1101/048538	2016-04-13	CC BY-NC-ND
10.1101/048553	2016-04-16	CC BY
10.1101/048561	2016-04-13	CC BY-NC-ND
10.1101/048579	2016-04-13	CC BY-NC
10.1101/048595	2016-04-13	CC BY-ND
10.1101/048603	2016-04-13	CC BY-NC
10.1101/048611	2016-04-13	CC BY-NC
10.1101/048629	2016-04-13	CC BY
10.1101/048645	2016-04-13	CC BY-ND
10.1101/048652	2016-05-09	None
10.1101/048660	2016-04-13	CC BY
10.1101/048686	2016-04-15	CC BY-NC
10.1101/048710	2016-04-15	CC BY-NC-ND
10.1101/048728	2016-04-14	CC BY-NC-ND
10.1101/048736	2016-04-16	CC BY-NC-ND
10.1101/048744	2016-04-15	CC BY
10.1101/048769	2016-04-15	CC BY-NC-ND
10.1101/048785	2016-04-15	CC BY-NC-ND
10.1101/048801	2016-04-15	CC BY-NC-ND
10.1101/048819	2016-04-15	CC BY-NC-ND
