doi	date	subjects	license	version
10.1101/038976	April 12, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/039198	April 11, 2016	Biophysics	CC BY	4.0
10.1101/027649	April 11, 2016	Evolutionary Biology	CC BY-NC	4.0
10.1101/048157	April 11, 2016	Cancer Biology	CC BY-NC-ND	4.0
10.1101/048124	April 11, 2016	Systems Biology		
10.1101/043158	April 11, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/048165	April 11, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/048108	April 11, 2016	Neuroscience		
10.1101/048074	April 11, 2016	Genomics	CC BY	4.0
10.1101/048066	April 11, 2016	Genetics		
10.1101/036772	April 11, 2016	Neuroscience		
10.1101/046219	April 11, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/048058	April 11, 2016	Cancer Biology	CC BY-NC	4.0
10.1101/047985	April 10, 2016	Bioinformatics		
10.1101/047829	April 10, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/048009	April 10, 2016	Bioinformatics		
10.1101/047910	April 10, 2016	Genomics		
10.1101/047936	April 10, 2016	Neuroscience		
10.1101/047969	April 10, 2016	Zoology	CC BY-NC-ND	4.0
10.1101/048033	April 10, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/024604	April 10, 2016	Synthetic Biology	CC BY	4.0
10.1101/024950	April 9, 2016	Evolutionary Biology		
10.1101/034173	April 9, 2016	Genetics		
10.1101/036590	April 9, 2016	Genomics		
10.1101/047803	April 9, 2016	Evolutionary Biology		
10.1101/047795	April 9, 2016	Cancer Biology		
10.1101/047811	April 9, 2016	Evolutionary Biology		
10.1101/047902	April 9, 2016	Ecology	CC BY-NC-ND	4.0
10.1101/047886	April 9, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/047837	April 9, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/047860	April 9, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/047878	April 9, 2016	Plant Biology	CC BY-ND	4.0
10.1101/047845	April 9, 2016	Bioinformatics		
10.1101/047720	April 8, 2016	Microbiology	CC BY	4.0
10.1101/047787	April 8, 2016	Animal Behavior and Cognition	CC BY-NC-ND	4.0
10.1101/047761	April 8, 2016	Developmental Biology		
10.1101/047779	April 8, 2016	Biophysics		
10.1101/047753	April 8, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/045856	April 8, 2016	Neuroscience		
10.1101/047605	April 8, 2016	Biochemistry	CC BY-NC-ND	4.0
10.1101/047589	April 8, 2016	Biophysics	CC BY-NC-ND	4.0
10.1101/047654	April 8, 2016	Zoology		
10.1101/047613	April 8, 2016	Bioinformatics	CC BY	4.0
10.1101/047274	April 8, 2016	Genomics	CC BY-NC	4.0
10.1101/047597	April 8, 2016	Genomics		
10.1101/047647	April 8, 2016	Bioinformatics		
10.1101/044990	April 8, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/047639	April 8, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/047704	April 8, 2016	Zoology	CC BY	4.0
10.1101/047670	April 8, 2016	Microbiology	CC BY-NC-ND	4.0
10.1101/047696	April 8, 2016	Ecology		
10.1101/047712	April 8, 2016	Bioinformatics	CC BY-NC	4.0
10.1101/047746	April 8, 2016	Developmental Biology	CC BY-NC-ND	4.0
10.1101/024562	April 7, 2016	Cancer Biology	CC BY-NC-ND	4.0
10.1101/034116	April 7, 2016	Evolutionary Biology		
10.1101/047571	April 7, 2016	Microbiology	CC BY	4.0
10.1101/047555	April 7, 2016	Biochemistry		
10.1101/047282	April 7, 2016	Bioinformatics	CC BY	4.0
10.1101/031435	April 6, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/047530	April 6, 2016	Microbiology	CC BY-NC-ND	4.0
10.1101/047514	April 6, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/047464	April 6, 2016	Bioinformatics	CC BY	4.0
10.1101/047522	April 6, 2016	Neuroscience	CC BY-NC	4.0
10.1101/047480	April 6, 2016	Ecology	CC BY-NC-ND	4.0
10.1101/047498	April 6, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/047456	April 6, 2016	Genetics		
10.1101/047209	April 6, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/047506	April 6, 2016	Cell Biology	CC BY-NC-ND	4.0
10.1101/047431	April 6, 2016	Genetics		
10.1101/046540	April 6, 2016	Ecology	CC BY-NC-ND	4.0
10.1101/047472	April 6, 2016	Developmental Biology		
10.1101/047118	April 6, 2016	Neuroscience	CC BY	4.0
10.1101/047126	April 6, 2016	Neuroscience		
10.1101/017269	April 6, 2016	Synthetic Biology	CC BY-NC-ND	4.0
10.1101/019356	April 6, 2016	Bioinformatics		
10.1101/045922	April 6, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/046987	April 6, 2016	Scientific Communication	CC BY-ND	4.0
10.1101/047225	April 6, 2016	Bioinformatics		
10.1101/047035	April 6, 2016	Evolutionary Biology		
10.1101/047241	April 6, 2016	Neuroscience		
10.1101/046938	April 6, 2016	Bioinformatics		
10.1101/047217	April 6, 2016	Genomics	CC BY	4.0
10.1101/046771	April 6, 2016	Bioinformatics		
10.1101/039982	April 5, 2016	Evolutionary Biology		
10.1101/045591	April 5, 2016	Biochemistry		
10.1101/044701	April 5, 2016	Genetics	CC BY	4.0
10.1101/032979	April 5, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/047308	April 5, 2016	Plant Biology	CC BY-NC-ND	4.0
10.1101/047316	April 5, 2016	Systems Biology	CC BY	4.0
10.1101/047365	April 5, 2016	Bioinformatics	CC BY	4.0
10.1101/047183	April 5, 2016	Cell Biology		
10.1101/047332	April 5, 2016	Cell Biology	CC BY	4.0
10.1101/047324	April 5, 2016	Microbiology	CC BY-NC	4.0
10.1101/047233	April 5, 2016	Microbiology	CC BY-ND	4.0
10.1101/047290	April 5, 2016	Genetics		
10.1101/047357	April 5, 2016	Bioinformatics		
10.1101/035170	April 5, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/043059	April 5, 2016	Microbiology		
10.1101/029926	April 5, 2016	Genomics	CC BY-ND	4.0
