DOI	Author	Standard_Author
10.1101/000026	Graham Coop	Graham Coop
10.1101/000026	Jeremy J Berg	Jeremy Berg
10.1101/000042	Arvind Narayanan	Arvind Narayanan
10.1101/000042	Yaniv Erlich	Yaniv Erlich
10.1101/000067	Arthur H Shockley	Arthur Shockley
10.1101/000067	Frank Albert	Frank Albert
10.1101/000067	Joshua S Bloom	Joshua Bloom
10.1101/000067	Leonid Kruglyak	Leonid Kruglyak
10.1101/000067	Sebastian Treusch	Sebastian Treusch
10.1101/000075	Anders Rantzer	Anders Rantzer
10.1101/000075	Richard M Murray	Richard Murray
10.1101/000075	Vanessa Jonsson	Vanessa Jonsson
10.1101/000091	Jongmin Kim	Jongmin Kim
10.1101/000091	Richard M. Murray	Richard Murray
10.1101/000091	Shaunak Sen	Shaunak Sen
10.1101/000109	Amanda M Kenney	Amanda Kenney
10.1101/000109	Andrea L Sweigart	Andrea Sweigart
10.1101/000109	Graham Coop	Graham Coop
10.1101/000109	Lex Fagel	Lex Fagel
10.1101/000109	Yaniv Brandvain	Yaniv Brandvain
10.1101/000125	Alexander G Fletcher	Alexander Fletcher
10.1101/000125	Alexander R A Anderson	Alexander Anderson
10.1101/000125	Jacob G Scott	Jacob Scott
10.1101/000125	Philip Gerlee	Philip Gerlee
10.1101/000125	Philip K Maini	Philip Maini
10.1101/000141	Alexander R A Anderson	Alexander Anderson
10.1101/000141	Anita Hjelmeland	Anita Hjelmeland
10.1101/000141	David Basanta	David Basanta
10.1101/000141	Jacob Scott	Jacob Scott
10.1101/000141	Prakash Chinnaiyan	Prakash Chinnaiyan
10.1101/000158	Alvaro N. A. Monteiro	Alvaro Monteiro
10.1101/000158	Edwin S Iversen	Edwin Iversen
10.1101/000158	Gary Lipton	Gary Lipton
10.1101/000158	Merlise A. Clyde	Merlise Clyde
10.1101/000208	Anna Morrison	Anna Morrison
10.1101/000208	Brian Counterman	Brian Counterman
10.1101/000208	Chri Jiggins	Chri Jiggins
10.1101/000208	Humberto Ortiz-Zuazaga	Humberto Ortiz-Zuazaga
10.1101/000208	Jose Alejandro Medina	Jose Medina
10.1101/000208	Mayte Ruiz	Mayte Ruiz
10.1101/000208	Nicola Nadeau	Nicola Nadeau
10.1101/000208	Patricio Salazar	Patricio Salazar
10.1101/000208	Riccardo Papa	Riccardo Papa
10.1101/000208	W. Owen McMillan	W. McMillan
10.1101/000216	Alain Coletta	Alain Coletta
10.1101/000216	Andrew P Harrison	Andrew Harrison
10.1101/000216	David Weiss	David Weiss
10.1101/000216	Federico Moran	Federico Moran
10.1101/000216	Huanming Yang	Huanming Yang
10.1101/000216	Manuel Corpas	Manuel Corpas
10.1101/000216	Mike Cariaso	Mike Cariaso
10.1101/000224	Graham K Steel	Graham Steel
10.1101/000224	Phillippa M Wiggins	Phillippa Wiggins
10.1101/000224	n/a n/a	
10.1101/000240	Edward H Morrow	Edward Morrow
10.1101/000240	Ilona Flis	Ilona Flis
10.1101/000240	Paolo Innocenti	Paolo Innocenti
10.1101/000257	Beom Jun Kim	Beom Kim
10.1101/000257	Daniel M. Abrams	Daniel Abrams
10.1101/000257	Mason A. Porter	Mason Porter
10.1101/000257	Robyn Ffrancon	Robyn Ffrancon
10.1101/000257	Sang Hoon Lee	Sang Lee
10.1101/000265	Alpan Raval	Alpan Raval
10.1101/000265	Amardeep Kaur	Amardeep Kaur
10.1101/000265	Animesh Ray	Animesh Ray
10.1101/000265	Anthony Sevold	Anthony Sevold
10.1101/000265	Arend Hintze	Arend Hintze
10.1101/000265	Ashish Bhan	Ashish Bhan
10.1101/000265	Biranchi Patra	Biranchi Patra
10.1101/000265	Bjrn stman	Bjrn stman
10.1101/000265	Bruz Marzolf	Bruz Marzolf
10.1101/000265	Christoph Adami	Christoph Adami
10.1101/000265	David J Galas	David Galas
10.1101/000265	Elizabeth J Grayhack	Elizabeth Grayhack
10.1101/000265	Eric M Phizicky	Eric Phizicky
10.1101/000265	Gitanjali Yadav	Gitanjali Yadav
10.1101/000265	Jenna K Tamashiro	Jenna Tamashiro
10.1101/000265	Jesse P Frumkin	Jesse Frumkin
10.1101/000265	Jory Schossau	Jory Schossau
10.1101/000265	Nitin S Baliga	Nitin Baliga
10.1101/000265	Ravishankar R Vallabhajosyula	Ravishankar Vallabhajosyula
10.1101/000265	Yoshiko Kon	Yoshiko Kon
10.1101/000307	Michael B Eisen	Michael Eisen
10.1101/000307	Steven Gregory Kuntz	Steven Kuntz
10.1101/000315	Claire Mach	Claire Mach
10.1101/000315	Genevera I. Allen	Genevera Allen
10.1101/000315	Matthew Anderson	Matthew Anderson
10.1101/000315	Ying-Wooi Wan	Ying-Wooi Wan
10.1101/000315	Zhandong Liu	Zhandong Liu
10.1101/000349	Bradly J Alicea	Bradly Alicea
10.1101/000364	Xubin Pan	Xubin Pan
10.1101/000380	Alexander Mazein	Alexander Mazein
10.1101/000380	Guanghou Shui	Guanghou Shui
10.1101/000380	Holly Gibbs	Holly Gibbs
10.1101/000380	Jane Hillston	Jane Hillston
10.1101/000380	Kevin Robertson	Kevin Robertson
10.1101/000380	Laurence Loewe	Laurence Loewe
10.1101/000380	Maria-Luisa Guerriero	Maria-Luisa Guerriero
10.1101/000380	Markus Wenk	Markus Wenk
10.1101/000380	Mathieu Blanc	Mathieu Blanc
10.1101/000380	Peter Ghazal	Peter Ghazal
10.1101/000380	Steven Watterson	Steven Watterson
10.1101/000398	Liangsheng Zhang	Liangsheng Zhang
10.1101/000398	Zhenguo Zhang	Zhenguo Zhang
10.1101/000406	Armita Nourmohammad	Armita Nourmohammad
10.1101/000406	Michael Lassig	Michael Lassig
10.1101/000406	Torsten Held	Torsten Held
10.1101/000414	Edward H Morrow	Edward Morrow
10.1101/000414	Jessica K Abbott	Jessica Abbott
10.1101/000414	William P Gilks	William Gilks
10.1101/000422	Matthew D MacManes	Matthew MacManes
10.1101/000430	Elisa Franco	Elisa Franco
10.1101/000430	Giulia Giordano	Giulia Giordano
10.1101/000430	Per-Ola Forsberg	Per-Ola Forsberg
10.1101/000430	Richard M Murray	Richard Murray
10.1101/000448	Emmanuel LC de los Santos	Emmanuel de los Santos
10.1101/000448	John E Dueber	John Dueber
10.1101/000448	Richard M Murray	Richard Murray
10.1101/000448	Victoria Hsiao	Victoria Hsiao
10.1101/000448	Weston R Whitaker	Weston Whitaker
10.1101/000455	Evelyne Sernagor	Evelyne Sernagor
10.1101/000455	Jennifer Simonotto	Jennifer Simonotto
10.1101/000455	Mark Jessop	Mark Jessop
10.1101/000455	Michael Weeks	Michael Weeks
10.1101/000455	Stephen Eglen	Stephen Eglen
10.1101/000455	Tom Jackson	Tom Jackson
10.1101/000489	Bud (Bhubaneswar) Mishra	Bud Mishra
10.1101/000497	Anatoly Yambartsev	Anatoly Yambartsev
10.1101/000497	Andrey Morgun	Andrey Morgun
10.1101/000497	Karina Mine	Karina Mine
10.1101/000497	Michael Perlin	Michael Perlin
10.1101/000497	Natalia Shulzhenko	Natalia Shulzhenko
10.1101/000497	Yevgeniy Kovchegov	Yevgeniy Kovchegov
10.1101/000513	Pei-Hui Wang	Pei-Hui Wang
10.1101/000521	Erol Akcay	Erol Akcay
10.1101/000521	Jeremy Van Cleve	Jeremy Van Cleve
10.1101/000547	Edward Flach	Edward Flach
10.1101/000547	Santiago Schnell	Santiago Schnell
10.1101/000562	Elisa Franco	Elisa Franco
10.1101/000562	Franco Blanchini	Franco Blanchini
10.1101/000562	Giulia Giordano	Giulia Giordano
10.1101/000570	Andrej Shevchenko	Andrej Shevchenko
10.1101/000570	Helena Khaliullina	Helena Khaliullina
10.1101/000570	Julio L. Sampaio	Julio Sampaio
10.1101/000570	Mesut Bilgin	Mesut Bilgin
10.1101/000570	Suzanne Eaton	Suzanne Eaton
10.1101/000588	Claudiu I Bandea	Claudiu Bandea
10.1101/000604	Claudiu I Bandea	Claudiu Bandea
10.1101/000638	Atmakuru Ramesh	Atmakuru Ramesh
10.1101/000638	Raja Rajeswari	Raja Rajeswari
10.1101/000653	Alfonso Martinez Arias	Alfonso Arias
10.1101/000653	David A Turner	David Turner
10.1101/000653	Jamie Trott	Jamie Trott
10.1101/000653	Pau Rue	Pau Rue
10.1101/000653	Penelope Hayward	Penelope Hayward
10.1101/000661	Hiroki Oota	Hiroki Oota
10.1101/000661	Hiroshi Kataoka	Hiroshi Kataoka
10.1101/000661	Hiroshi Mitani	Hiroshi Mitani
10.1101/000661	Shigeki Nakagome	Shigeki Nakagome
10.1101/000661	Shoji Kawamura	Shoji Kawamura
10.1101/000661	Shoji Oda	Shoji Oda
10.1101/000661	Takafumi Katsumura	Takafumi Katsumura
10.1101/000661	Tsunehiko Hanihara	Tsunehiko Hanihara
10.1101/000679	Kelli Torsney	Kelli Torsney
10.1101/000679	Ken Suzuki	Ken Suzuki
10.1101/000679	Kenta Yashiro	Kenta Yashiro
10.1101/000679	Kunihiko Takahashi	Kunihiko Takahashi
10.1101/000679	Martin Carrier	Martin Carrier
10.1101/000679	Niall Campbell	Niall Campbell
10.1101/000679	Samir Ounzain	Samir Ounzain
10.1101/000679	Scott Brouilette	Scott Brouilette
10.1101/000679	Steven Coppen	Steven Coppen
10.1101/000679	Takuya Narita	Takuya Narita
10.1101/000679	Vinit Sawhney	Vinit Sawhney
10.1101/000679	Yasunori Shintani	Yasunori Shintani
10.1101/000687	Gholson J Lyon	Gholson Lyon
10.1101/000687	Jason O'Rawe	Jason O'Rawe
10.1101/000711	Adam Roddy	Adam Roddy
10.1101/000711	Klaus Winter	Klaus Winter
10.1101/000711	Todd Dawson	Todd Dawson
10.1101/000745	Nickolas Sanford	Nickolas Sanford
10.1101/000745	Thea Wilkins	Thea Wilkins
10.1101/000745	mingxiong pang	mingxiong pang
10.1101/000752	Joseph Pickrell	Joseph Pickrell
10.1101/000760	Alana L. Moore	Alana Moore
10.1101/000760	Christopher F. Clements	Christopher Clements
10.1101/000760	Jochen Krauss	Jochen Krauss
10.1101/000760	John W Morgan	John Morgan
10.1101/000760	Michael A. McCarthy	Michael McCarthy
10.1101/000778	Alan S Perelson	Alan Perelson
10.1101/000778	Beda Joos	Beda Joos
10.1101/000778	Christian L Althaus	Christian Althaus
10.1101/000778	Huldrych F Gunthard	Huldrych Gunthard
10.1101/000786	Jan Spitzer	Jan Spitzer
10.1101/000802	Andrew J Grierson	Andrew Grierson
10.1101/000802	Bonnie E Schrack	Bonnie Schrack
10.1101/000802	Christian Rottensteiner	Christian Rottensteiner
10.1101/000802	Gregory R Magoon	Gregory Magoon
10.1101/000802	Raymond H Banks	Raymond Banks
10.1101/000802	Terry Robb	Terry Robb
10.1101/000802	Vincent O Tilroe	Vincent Tilroe
10.1101/000836	Ali Kinkhabwala	Ali Kinkhabwala
10.1101/000836	Jana Mallah	Jana Mallah
10.1101/000836	Julia Fueller	Julia Fueller
10.1101/000836	Kirstin A. Walther	Kirstin Walther
10.1101/000836	Markus Grabenbauer	Markus Grabenbauer
10.1101/000836	Mikhail Egorov	Mikhail Egorov
10.1101/000836	Ola Sabet	Ola Sabet
10.1101/000844	Bud (Bhubaneswar) Mishra	Bud Mishra
10.1101/000844	Thomas Anantharaman	Thomas Anantharaman
10.1101/000851	Alexander Dobin	Alexander Dobin
10.1101/000851	Thomas R Gingeras	Thomas Gingeras
10.1101/000869	David A Baltrus	David Baltrus
10.1101/000869	Erick Karlsrud	Erick Karlsrud
10.1101/000869	Kevin Dougherty	Kevin Dougherty
10.1101/000869	Kevin L Hockett	Kevin Hockett
10.1101/000869	Marc T Nishimura	Marc Nishimura
10.1101/000885	Dan Siegal-Gaskins	Dan Siegal-Gaskins
10.1101/000885	Jongmin Kim	Jongmin Kim
10.1101/000885	Richard M. Murray	Richard Murray
10.1101/000885	Vincent Noireaux	Vincent Noireaux
10.1101/000885	Zoltan A. Tuza	Zoltan Tuza
10.1101/000893	Douglas W. Yu	Douglas Yu
10.1101/000893	Guopeng Ren	Guopeng Ren
10.1101/000893	Jianguo Zhu	Jianguo Zhu
10.1101/000893	Junsheng Li	Junsheng Li
10.1101/000893	Lin Wang	Lin Wang
10.1101/000893	Ruidong Wu	Ruidong Wu
10.1101/000893	Stephen S. Young	Stephen Young
10.1101/000893	Wei Wang	Wei Wang
10.1101/000893	Yongcheng Long	Yongcheng Long
10.1101/000919	Alex Graudenzi	Alex Graudenzi
10.1101/000919	Bud Mishra	Bud Mishra
10.1101/000919	Daniele Ramazzotti	Daniele Ramazzotti
10.1101/000919	Giancarlo Mauri	Giancarlo Mauri
10.1101/000919	Giulio Caravagna	Giulio Caravagna
10.1101/000919	Loes Olde Loohuis	Loes Loohuis
10.1101/000919	Marco Antoniotti	Marco Antoniotti
10.1101/000927	Alex Graudenzi	Alex Graudenzi
10.1101/000927	Giovanni De Matteis	Giovanni De Matteis
10.1101/000927	Giulio Caravagna	Giulio Caravagna
10.1101/000927	Marco Antoniotti	Marco Antoniotti
10.1101/000935	IAN S Logan	IAN Logan
10.1101/000943	Andrew M. Leifer	Andrew Leifer
10.1101/000943	Christopher M. Clark	Christopher Clark
10.1101/000943	Frederick B. Shipley	Frederick Shipley
10.1101/000943	Mark J. Alkema	Mark Alkema
10.1101/000950	Arsalan Daudi	Arsalan Daudi
10.1101/000950	Benjamin Schwessinger	Benjamin Schwessinger
10.1101/000950	Christopher Petzold	Christopher Petzold
10.1101/000950	Deling Ruan	Deling Ruan
10.1101/000950	Jing Wang	Jing Wang
10.1101/000950	Joshua Heazlewood	Joshua Heazlewood
10.1101/000950	Mawsheng Chern	Mawsheng Chern
10.1101/000950	Pamela C Ronald	Pamela Ronald
10.1101/000950	Patrick Canlas	Patrick Canlas
10.1101/000950	Shimin Zuo	Shimin Zuo
10.1101/000950	Xiaogang Zhang	Xiaogang Zhang
10.1101/000950	Xuewei Chen	Xuewei Chen
10.1101/000968	Satoru Hayasaka	Satoru Hayasaka
10.1101/000984	Jo Knight	Jo Knight
10.1101/000984	Michael E Weale	Michael Weale
10.1101/000984	Michael R Barnes	Michael Barnes
10.1101/000984	Sarah A Gagliano	Sarah Gagliano
10.1101/000992	Alejandro Reyes	Alejandro Reyes
10.1101/000992	Carolin Blume	Carolin Blume
10.1101/000992	Lars M Steinmetz	Lars Steinmetz
10.1101/000992	Petra Jakob	Petra Jakob
10.1101/000992	Thorsten Zenz	Thorsten Zenz
10.1101/000992	Vicent Pelechano	Vicent Pelechano
10.1101/000992	Wolfgang Huber	Wolfgang Huber
10.1101/001008	Howard M Salis	Howard Salis
10.1101/001008	Iman Farasat	Iman Farasat
10.1101/001008	Jason Collens	Jason Collens
10.1101/001008	Manish Kushwaha	Manish Kushwaha
10.1101/001008	Matthew Guido	Matthew Guido
10.1101/001008	Michael Easterbrook	Michael Easterbrook
10.1101/001016	Diamantis Sellis	Diamantis Sellis
10.1101/001016	Dmitri A Petrov	Dmitri Petrov
10.1101/001016	Sandeep Venkataram	Sandeep Venkataram
10.1101/001024	James Boocock	James Boocock
10.1101/001024	Mik Black	Mik Black
10.1101/001024	Neil Gemmell	Neil Gemmell
10.1101/001024	Sterling Sawaya	Sterling Sawaya
10.1101/001032	He-He Cao	He-He Cao
10.1101/001032	Hui Zhao	Hui Zhao
10.1101/001032	Meng Zhang	Meng Zhang
10.1101/001032	Shan-Shan Guo	Shan-Shan Guo
10.1101/001032	Tong-Xian Liu	Tong-Xian Liu
10.1101/001032	Xing-Xing Wang	Xing-Xing Wang
10.1101/001032	Yi Zhang	Yi Zhang
10.1101/001032	Zhan-Feng Zhang	Zhan-Feng Zhang
10.1101/001040	Adam L. Bailey	Adam Bailey
10.1101/001040	Alex Tumukunde	Alex Tumukunde
10.1101/001040	Andrea Weiler	Andrea Weiler
10.1101/001040	Austin Hughes	Austin Hughes
10.1101/001040	Chase W. Nelson	Chase Nelson
10.1101/001040	Colin Chapman	Colin Chapman
10.1101/001040	David H. O'Connor	David O'Connor
10.1101/001040	David Hyeroba	David Hyeroba
10.1101/001040	Geoffrey Weny	Geoffrey Weny
10.1101/001040	Jens Kuhn	Jens Kuhn
10.1101/001040	Jorge M. Dinis	Jorge Dinis
10.1101/001040	Michael Correll	Michael Correll
10.1101/001040	Michael Gleicher	Michael Gleicher
10.1101/001040	Michael Lauck	Michael Lauck
10.1101/001040	Samuel D. Sibley	Samuel Sibley
10.1101/001040	Thomas C. Friedrich	Thomas Friedrich
10.1101/001040	Tony L. Goldberg	Tony Goldberg
10.1101/001040	Zachary Bergman	Zachary Bergman
10.1101/001065	Andrea Gobbi	Andrea Gobbi
10.1101/001065	Giuseppe Jurman	Giuseppe Jurman
10.1101/001073	Anil Raj	Anil Raj
10.1101/001073	Jonathan K Pritchard	Jonathan Pritchard
10.1101/001073	Matthew Stephens	Matthew Stephens
10.1101/001081	Deren A. R. Eaton	Deren Eaton
10.1101/001099	Balaji Srinivasan	Balaji Srinivasan
10.1101/001099	Barak Markus	Barak Markus
10.1101/001099	Clement Chu	Clement Chu
10.1101/001099	Dina Zielinski	Dina Zielinski
10.1101/001099	Dror Aizenbud	Dror Aizenbud
10.1101/001099	Jodi D. Hoffman	Jodi Hoffman
10.1101/001099	Marta Zaks	Marta Zaks
10.1101/001099	Melissa Gymrek	Melissa Gymrek
10.1101/001099	Mona Sheikh	Mona Sheikh
10.1101/001099	Yaniv Erlich	Yaniv Erlich
10.1101/001107	Ahmad S Zebari	Ahmad Zebari
10.1101/001107	Aravind Ramakrishnan	Aravind Ramakrishnan
10.1101/001107	Brian Hayes	Brian Hayes
10.1101/001107	Janine O Ilagan	Janine Ilagan
10.1101/001107	Michele E Murphy	Michele Murphy
10.1101/001107	Philip Bradley	Philip Bradley
10.1101/001107	Robert K Bradley	Robert Bradley
10.1101/001123	Antonin Blot	Antonin Blot
10.1101/001123	Boris Barbour	Boris Barbour
10.1101/001156	Carole MEGROT	Carole MEGROT
10.1101/001156	Fabrice MEGROT	Fabrice MEGROT
10.1101/001172	Adam Leache	Adam Leache
10.1101/001172	Matthew Fujita	Matthew Fujita
10.1101/001172	Remco Bouckaert	Remco Bouckaert
10.1101/001172	Vladimir Minin	Vladimir Minin
10.1101/001198	Andreas Heinz	Andreas Heinz
10.1101/001198	Andreas Strohle	Andreas Strohle
10.1101/001198	Arun Bokde	Arun Bokde
10.1101/001198	Bernd Ittermann	Bernd Ittermann
10.1101/001198	Christian Buchel	Christian Buchel
10.1101/001198	Claire Lawrence	Claire Lawrence
10.1101/001198	Eva Loth	Eva Loth
10.1101/001198	Fabiana Carvalho	Fabiana Carvalho
10.1101/001198	Frauke Nees	Frauke Nees
10.1101/001198	Gareth J Barker	Gareth Barker
10.1101/001198	Guillaume Huguet	Guillaume Huguet
10.1101/001198	Gunter Schumann	Gunter Schumann
10.1101/001198	Herta Flor	Herta Flor
10.1101/001198	Herve Lemaitre	Herve Lemaitre
10.1101/001198	Hugh Garavan	Hugh Garavan
10.1101/001198	Jean-Baptiste Poline	Jean-Baptiste Poline
10.1101/001198	Jurgen Gallinat	Jurgen Gallinat
10.1101/001198	Karl Mann	Karl Mann
10.1101/001198	Marcella Rietschel	Marcella Rietschel
10.1101/001198	Michael Smolka	Michael Smolka
10.1101/001198	Mira Fauth-Buhler	Mira Fauth-Buhler
10.1101/001198	Patricia Conrod	Patricia Conrod
10.1101/001198	Penny Gowloan	Penny Gowloan
10.1101/001198	Roberto Toro	Roberto Toro
10.1101/001198	Thomas Bourgeron	Thomas Bourgeron
10.1101/001198	Tobias Banaschewski	Tobias Banaschewski
10.1101/001198	Toma Paus	Toma Paus
10.1101/001198	Trevor Robbins	Trevor Robbins
10.1101/001198	Vincent Frouin	Vincent Frouin
10.1101/001198	Zdenka Pausova	Zdenka Pausova
10.1101/001214	Adam H Marblestone	Adam Marblestone
10.1101/001214	Anthony M Zador	Anthony Zador
10.1101/001214	Bradley M Zamft	Bradley Zamft
10.1101/001214	David A Dalrymple	David Dalrymple
10.1101/001214	Edward S Boyden	Edward Boyden
10.1101/001214	Evan R Daugharthy	Evan Daugharthy
10.1101/001214	George M Church	George Church
10.1101/001214	Ian D Peikon	Ian Peikon
10.1101/001214	Je Hyuk Lee	Je Lee
10.1101/001214	Justus M Kebschull	Justus Kebschull
10.1101/001214	Konrad P Kording	Konrad Kording
10.1101/001214	Reza Kalhor	Reza Kalhor
10.1101/001214	Seth L Shipman	Seth Shipman
10.1101/001214	Yuriy Mishchenko	Yuriy Mishchenko
10.1101/001230	Andy Somogyi	Andy Somogyi
10.1101/001230	Herbert M Sauro	Herbert Sauro
10.1101/001230	Maciej Swat	Maciej Swat
10.1101/001230	Michal Galdzicki	Michal Galdzicki
10.1101/001230	Totte T Karlsson	Totte Karlsson
10.1101/001248	Edgar Huitema	Edgar Huitema
10.1101/001248	Graham Motion	Graham Motion
10.1101/001248	Petra C. Boevink	Petra Boevink
10.1101/001248	Remco Stam	Remco Stam
10.1101/001255	Denise Rossa-Feres	Denise Rossa-Feres
10.1101/001255	Diogo B. Provete	Diogo Provete
10.1101/001255	Itamar A. Martins	Itamar Martins
10.1101/001255	Michel Garey	Michel Garey
10.1101/001255	Thiago Goncalves-Souza	Thiago Goncalves-Souza
10.1101/001263	Edmund Hart	Edmund Hart
10.1101/001263	Nicholas Gotelli	Nicholas Gotelli
10.1101/001289	Alex T Kalinka	Alex Kalinka
10.1101/001289	Eric Lewitus	Eric Lewitus
10.1101/001289	Iva Kelava	Iva Kelava
10.1101/001289	Pavel Tomancak	Pavel Tomancak
10.1101/001289	Wieland B Huttner	Wieland Huttner
10.1101/001297	Adrian Tisbe	Adrian Tisbe
10.1101/001297	Austin Kwong	Austin Kwong
10.1101/001297	Dennis Evangelista	Dennis Evangelista
10.1101/001297	Dylan Marks	Dylan Marks
10.1101/001297	Eric Guenther-Gleason	Eric Guenther-Gleason
10.1101/001297	Griselda Cardona	Griselda Cardona
10.1101/001297	Kyle Tse	Kyle Tse
10.1101/001297	Mimi Kohl	Mimi Kohl
10.1101/001297	Neil Ray	Neil Ray
10.1101/001297	Tony Huynh	Tony Huynh
10.1101/001305	David Juncker	David Juncker
10.1101/001305	Grant Ongo	Grant Ongo
10.1101/001305	Sebastien G Ricoult	Sebastien Ricoult
10.1101/001305	Timothy E Kennedy	Timothy Kennedy
10.1101/001321	Eldad Zacksenhaus	Eldad Zacksenhaus
10.1101/001321	Hibret A Adissu	Hibret Adissu
10.1101/001321	James Robert Woodgett	James Woodgett
10.1101/001321	Jeff C Liu	Jeff Liu
10.1101/001321	Joanna Dembowy	Joanna Dembowy
10.1101/001347	Chris D. Jiggins	Chris Jiggins
10.1101/001347	John W. Davey	John Davey
10.1101/001347	Simon H. Martin	Simon Martin
10.1101/001354	Aram Yardumian	Aram Yardumian
10.1101/001362	Autum F Moore	Autum Moore
10.1101/001362	Brian A Smith	Brian Smith
10.1101/001362	Chris Fanger	Chris Fanger
10.1101/001362	David A Baltrus	David Baltrus
10.1101/001362	Kevin Dougherty	Kevin Dougherty
10.1101/001362	Rachel Murillo	Rachel Murillo
10.1101/001362	Shannon Maitland	Shannon Maitland
10.1101/001370	Gholson J Lyon	Gholson Lyon
10.1101/001370	Giuseppe Narzisi	Giuseppe Narzisi
10.1101/001370	Han Fang	Han Fang
10.1101/001370	Ivan Iossifov	Ivan Iossifov
10.1101/001370	Jason A O'Rawe	Jason O'Rawe
10.1101/001370	Michael C Schatz	Michael Schatz
10.1101/001370	Michael Wigler	Michael Wigler
10.1101/001370	Yiyang Wu	Yiyang Wu
10.1101/001370	Yoon-ha Lee	Yoon-ha Lee
10.1101/001370	Zihua Wang	Zihua Wang
10.1101/001388	Caroline Colijn	Caroline Colijn
10.1101/001388	Jennifer Gardy	Jennifer Gardy
10.1101/001388	Xavier Didelot	Xavier Didelot
10.1101/001396	Gurinder S. Atwal	Gurinder Atwal
10.1101/001396	Justin B. Kinney	Justin Kinney
10.1101/001404	Ryan Baldini	Ryan Baldini
10.1101/001438	Animesh Ray	Animesh Ray
10.1101/001438	Biranchi N. Patra	Biranchi Patra
10.1101/001438	Bulbul Chakravarti	Bulbul Chakravarti
10.1101/001438	Deb N. Chakravarti	Deb Chakravarti
10.1101/001438	Delwin S. Merchant	Delwin Merchant
10.1101/001438	Jean D. Lang	Jean Lang
10.1101/001438	Stephen E. Schauer	Stephen Schauer
10.1101/001438	Sumita Ray	Sumita Ray
10.1101/001438	Teresa A. Golden	Teresa Golden
10.1101/001446	Matthew Zefferman	Matthew Zefferman
10.1101/001453	Bertrand Servin	Bertrand Servin
10.1101/001453	Carole Moreno	Carole Moreno
10.1101/001453	Gwenola Tosser-Klopp	Gwenola Tosser-Klopp
10.1101/001453	International Sheep Genomics Consortium n.a.	
10.1101/001453	Magali San Cristobal	Magali San Cristobal
10.1101/001453	Maria-Ines Fariello	Maria-Ines Fariello
10.1101/001453	Rachelle Rupp	Rachelle Rupp
10.1101/001453	simon boitard	simon boitard
10.1101/001461	Fang-Chieh Chou	Fang-Chieh Chou
10.1101/001461	Nathaniel Echols	Nathaniel Echols
10.1101/001461	Rhiju Das	Rhiju Das
10.1101/001461	Thomas C. Terwilliger	Thomas Terwilliger
10.1101/001479	Alice Young	Alice Young
10.1101/001479	Christina Sison	Christina Sison
10.1101/001479	Emily E Fannin	Emily Fannin
10.1101/001479	Jeanette Baran-Gale	Jeanette Baran-Gale
10.1101/001479	Michael R Erdos	Michael Erdos
10.1101/001479	Peter S Chines	Peter Chines
10.1101/001479	Praveen Sethupathy	Praveen Sethupathy
10.1101/001487	Ben Hanowell	Ben Hanowell
10.1101/001495	Rafael Najmanovich	Rafael Najmanovich
10.1101/001495	Vincent Frappier	Vincent Frappier
10.1101/001511	Bruno D Valente	Bruno Valente
10.1101/001511	Daniel Gianola	Daniel Gianola
10.1101/001511	Gota Morota	Gota Morota
10.1101/001511	Guilherme JM Rosa	Guilherme Rosa
10.1101/001511	Kent Weigel	Kent Weigel
10.1101/001529	Ryan Baldini	Ryan Baldini
10.1101/001537	Sarah C Kramer	Sarah Kramer
10.1101/001537	Shweta Bansal	Shweta Bansal
10.1101/001545	Aaron Clauset	Aaron Clauset
10.1101/001545	Lisa O. Singh	Lisa Singh
10.1101/001545	Pratha Sah	Pratha Sah
10.1101/001545	Shweta Bansal	Shweta Bansal
10.1101/001552	Aashish R. Jha	Aashish Jha
10.1101/001552	Alan Cooper	Alan Cooper
10.1101/001552	Alena Kushniarevich	Alena Kushniarevich
10.1101/001552	Alissa Mittnik	Alissa Mittnik
10.1101/001552	Andres Ruiz-Linares	Andres Ruiz-Linares
10.1101/001552	Antonio Salas	Antonio Salas
10.1101/001552	Antti Sajantila	Antti Sajantila
10.1101/001552	Ayele Tarekegn	Ayele Tarekegn
10.1101/001552	Bela Melegh	Bela Melegh
10.1101/001552	Bonnie Berger	Bonnie Berger
10.1101/001552	Brenna Henn	Brenna Henn
10.1101/001552	Cesare de Filippo	Cesare de Filippo
10.1101/001552	Cheryl Winkler	Cheryl Winkler
10.1101/001552	Christos Economou	Christos Economou
10.1101/001552	Claudio M. Bravi	Claudio Bravi
10.1101/001552	Cosimo Posth	Cosimo Posth
10.1101/001552	Cristian Capelli	Cristian Capelli
10.1101/001552	Daniel Corach	Daniel Corach
10.1101/001552	David Comas	David Comas
10.1101/001552	David E.C. Cole	David Cole
10.1101/001552	David Reich	David Reich
10.1101/001552	Desislava Nesheva	Desislava Nesheva
10.1101/001552	Dominique Delsate	Dominique Delsate
10.1101/001552	Draga Toncheva	Draga Toncheva
10.1101/001552	Elena B. Starikovskaya	Elena Starikovskaya
10.1101/001552	Elena Balanovska	Elena Balanovska
10.1101/001552	Elin Fornander	Elin Fornander
10.1101/001552	Elza Khusnutdinova	Elza Khusnutdinova
10.1101/001552	Ene Metspalu	Ene Metspalu
10.1101/001552	Evan E. Eichler	Evan Eichler
